"","respnr","KRD_MindistAnyFarm.NEG","KRD_MindistCattleFarm5.NEG","KRD_MindistGoatFarm50.NEG","KRD_MindistPigFarm15.NEG","KRD_MindistPoultryFarm250.NEG","KRD_MindistTurkeyFarm250.NEG","KRD_MindistDuckFarm250.NEG","KRD_MindistHopoFarm5.NEG","KRD_MindistAnyFarm.INV","KRD_MindistCattleFarm5.INV","KRD_MindistGoatFarm50.INV","KRD_MindistPigFarm15.INV","KRD_MindistPoultryFarm250.INV","KRD_MindistTurkeyFarm250.INV","KRD_MindistDuckFarm250.INV","KRD_MindistHopoFarm5.INV","KRD_nCattleFarm.250m","KRD_nCattleFarm.500m","KRD_nCattleFarm.1000m","KRD_nCattleFarm.3000m","KRD_nCattleFarmWghtDist.250m.sum","KRD_nCattleFarmWghtDist.500m.sum","KRD_nCattleFarmWghtDist.1000m.sum","KRD_nCattleFarmWghtDist.3000m.sum","nGoatFarm.250m","KRD_nGoatFarm.500m","KRD_nGoatFarm.1000m","KRD_nGoatFarm.3000m","KRD_nGoatFarmWghtDist.250m.sum","KRD_nGoatFarmWghtDist.500m.sum","KRD_nGoatFarmWghtDist.1000m.sum","KRD_nGoatFarmWghtDist.3000m.sum","KRD_nPigFarm.250m","KRD_nPigFarm.500m","KRD_nPigFarm.1000m","KRD_nPigFarm.3000m","KRD_nPigFarmWghtDist.250m.sum","KRD_nPigFarmWghtDist.500m.sum","KRD_nPigFarmWghtDist.1000m.sum","KRD_nPigFarmWghtDist.3000m.sum","KRD_nPoultryFarm.250m","KRD_nPoultryFarm.500m","KRD_nPoultryFarm.1000m","KRD_nPoultryFarm.3000m","KRD_nPoultryFarmWghtDist.250m.sum","KRD_nPoultryFarmWghtDist.500m.sum","KRD_nPoultryFarmWghtDist.1000m.sum","KRD_nPoultryFarmWghtDist.3000m.sum","KRD_nTurkeyFarm.250m","KRD_nTurkeyFarm.500m","KRD_nTurkeyFarm.1000m","KRD_nTurkeyFarm.3000m","KRD_nTurkeyFarmWghtDist.250m.sum","KRD_nTurkeyFarmWghtDist.500m.sum","KRD_nTurkeyFarmWghtDist.1000m.sum","KRD_nTurkeyFarmWghtDist.3000m.sum","nDuckFarm.250m","KRD_nDuckFarm.500m","KRD_nDuckFarm.1000m","KRD_nDuckFarm.3000m","KRD_nDuckFarmWghtDist.250m.sum","KRD_nDuckFarmWghtDist.500m.sum","KRD_nDuckFarmWghtDist.1000m.sum","KRD_nDuckFarmWghtDist.3000m.sum","KRD_nHopoFarm.250m","KRD_nHopoFarm.500m","KRD_nHopoFarm.1000m","KRD_nHopoFarm.3000m","KRD_nHopoFarmWghtDist.250m.sum","KRD_nHopoFarmWghtDist.500m.sum","KRD_nHopoFarmWghtDist.1000m.sum","KRD_nHopoFarmWghtDist.3000m.sum","KRD_nCows.250m","KRD_nCows.500m","KRD_nCows.1000m","KRD_nCows.3000m","KRD_nCowsWghtDist.250m.sum","KRD_nCowsWghtDist.500m.sum","KRD_nCowsWghtDist.1000m.sum","KRD_nCowsWghtDist.3000m.sum","KRD_nGoats.250m","KRD_nGoats.500m","KRD_nGoats.1000m","KRD_nGoats.3000m","KRD_nGoatsWghtDist.250m.sum","KRD_nGoatsWghtDist.500m.sum","KRD_nGoatsWghtDist.1000m.sum","KRD_nGoatsWghtDist.3000m.sum","KRD_nPigs.250m","KRD_nPigs.500m","KRD_nPigs.1000m","KRD_nPigs.3000m","KRD_nPigsWghtDist.250m.sum","KRD_nPigsWghtDist.500m.sum","KRD_nPigsWghtDist.1000m.sum","KRD_nPigsWghtDist.3000m.sum","KRD_nPoultry.250m","KRD_nPoultry.500m","KRD_nPoultry.1000m","KRD_nPoultry.3000m","KRD_nPoultryWghtDist.250m.sum","KRD_nPoultryWghtDist.500m.sum","KRD_nPoultryWghtDist.1000m.sum","KRD_nPoultryWghtDist.3000m.sum","KRD_nTurkeys.250m","KRD_nTurkeys.500m","KRD_nTurkeys.1000m","KRD_nTurkeys.3000m","KRD_nTurkeysWghtDist.250m.sum","KRD_nTurkeysWghtDist.500m.sum","KRD_nTurkeysWghtDist.1000m.sum","KRD_nTurkeysWghtDist.3000m.sum","KRD_nDucks.250m","KRD_nDucks.500m","KRD_nDucks.1000m","KRD_nDucks.3000m","KRD_nDucksWghtDist.250m.sum","KRD_nDucksWghtDist.500m.sum","KRD_nDucksWghtDist.1000m.sum","KRD_nDucksWghtDist.3000m.sum","KRD_nHopo.250m","KRD_nHopo.500m","KRD_nHopo.1000m","KRD_nHopo.3000m","KRD_nHopoWghtDist.250m.sum","KRD_nHopoWghtDist.500m.sum","KRD_nHopoWghtDist.1000m.sum","KRD_nHopoWghtDist.3000m.sum"
"1","10006",-403.7883,-403.7883,NA,-702.5077,-2836.286,NA,NA,-842.882,0.00247654525898844,0.00247654525898844,NA,0.00142347194201572,0.000352573753140551,NA,NA,0.00118640568905256,NA,2,4,41,NA,0.0629818713769789,0.0629818713769789,0.0629818713769789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,NA,NA,0.0629818713769789,0.0629818713769789,NA,NA,NA,1,NA,NA,NA,0.0629818713769789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,0.0629818713769789,0.0629818713769789,0,300,413,5926,NA,0.739797951490338,0.861454212187049,3.89795803532766,0,0,0,10,NA,NA,NA,0.00691305769733773,0,0,9150,48155,NA,NA,13.0247682694439,29.7486653715492,0,0,9,77099,NA,NA,0.010677651201473,27.2454446953256,0,0,0,20,NA,NA,NA,0.00874101805763215,0,0,0,20,NA,NA,NA,0.00874101805763215,0,9,18,418,NA,0.0221056320309119,0.032783283232385,0.249663090041998
"2","10021",-663.3649,-801.5441,-2622.023,-663.3649,-911.2941,-3907.652,NA,-1140.774,0.00150746595124343,0.00124759199150739,0.000381384907760153,0.00150746595124343,0.00109734058412098,0.000255908151493531,NA,0.000876597818673988,NA,NA,1,51,NA,NA,0.0798468079585688,0.0798468079585688,NA,NA,NA,1,NA,NA,NA,0.0798468079585688,NA,NA,2,26,NA,NA,0.0798468079585688,0.0798468079585688,NA,NA,1,6,NA,NA,0.0798468079585688,0.0798468079585688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0.0798468079585688,0,0,188,12883,NA,NA,0.23454729440339,6.75383807836197,0,0,0,5000,NA,NA,NA,1.90692453880077,0,0,3569,97201,NA,NA,5.34974072669867,55.4136236740882,0,0,9342,130728,NA,NA,10.2513557368582,81.8417940463226,0,0,0,121,NA,NA,NA,0.0409907150948816,0,0,0,5,NA,NA,NA,0.00303812482075064,0,0,3,578,NA,NA,0.00452239785373028,0.324434466707467
"3","10037",-423.0414,-423.0414,-4646.163,-876.0868,-1106.375,NA,NA,-446.6587,0.00236383483980528,0.00236383483980528,0.000215231364030922,0.00114143940988496,0.000903852672014462,NA,NA,0.00223884590180377,NA,2,9,48,NA,0.0831435862773734,0.0831435862773734,0.0831435862773734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,NA,NA,0.0831435862773734,0.0831435862773734,NA,NA,NA,5,NA,NA,NA,0.0831435862773734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,17,NA,0.0831435862773734,0.0831435862773734,0.0831435862773734,0,312,3436,15903,NA,0.72789232179313,4.49106612974799,10.1229481007999,0,0,0,0,NA,NA,NA,NA,0,0,9288,57671,NA,NA,10.096987359339,34.546902980374,0,0,5,239113,NA,NA,0.00702559790648423,117.783738574114,0,0,0,0,NA,NA,NA,NA,0,0,5,5,NA,NA,0.00702559790648423,0.00702559790648423,0,79,104,593,NA,0.176868826242498,0.208708774972667,0.492937777094124
"4","10078",-968.2035,-1014.318,-2512.306,-983.1958,-1279.516,-3833.625,NA,-968.2035,0.00103284071995195,0.000985884111294486,0.000398040684534448,0.00101709140742871,0.000781545521900469,0.000260849717956242,NA,0.00103284071995195,NA,NA,NA,50,NA,NA,NA,0.0766537444130393,NA,NA,NA,1,NA,NA,NA,0.0766537444130393,NA,NA,1,24,NA,NA,0.0766537444130393,0.0766537444130393,NA,NA,NA,7,NA,NA,NA,0.0766537444130393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,NA,0.0766537444130393,0.0766537444130393,0,0,0,13711,NA,NA,NA,7.09962674125669,0,0,0,5001,NA,NA,NA,1.99054026341596,0,0,3452,89404,NA,NA,3.51099953844392,46.210047117933,0,0,0,248158,NA,NA,NA,115.95320875295,0,0,0,1,NA,NA,NA,0.000336840743717415,0,0,0,7,NA,NA,NA,0.00387858576014911,0,0,77,526,NA,NA,0.0794814874987306,0.311720058040533
"5","10092",-836.9474,-836.9474,-2425.293,-844.0053,-1090.798,-3723.017,NA,-1197.428,0.00119481821677205,0.00119481821677205,0.000412321315403953,0.0011848266829604,0.000916760023395716,0.000268599364440184,NA,0.000835123280898726,NA,NA,2,47,NA,NA,0.0798179804839778,0.0798179804839778,NA,NA,NA,1,NA,NA,NA,0.0798179804839778,NA,NA,2,23,NA,NA,0.0798179804839778,0.0798179804839778,NA,NA,NA,6,NA,NA,NA,0.0798179804839778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,0.0798179804839778,0,0,498,12512,NA,NA,0.59314106359589,6.68668386023616,0,0,0,5000,NA,NA,NA,2.06160657701977,0,0,3569,93191,NA,NA,4.06417928609134,52.4831397595943,0,0,0,188318,NA,NA,NA,102.486313930196,0,0,0,0,NA,NA,NA,NA,0,0,0,5,NA,NA,NA,0.00285306704707561,0,0,3,540,NA,NA,0.00341154799900201,0.29798030424748
"6","10134",-603.0008,-839.2973,-2684.804,-603.0008,-901.6185,-3971.125,NA,-1101.563,0.00165837259254051,0.00119147291430581,0.000372466667957884,0.00165837259254051,0.00110911654984897,0.000251817809814599,NA,0.000907801006388196,NA,NA,1,54,NA,NA,0.0796606733143211,0.0796606733143211,NA,NA,NA,1,NA,NA,NA,0.0796606733143211,NA,NA,2,28,NA,NA,0.0796606733143211,0.0796606733143211,NA,NA,1,6,NA,NA,0.0796606733143211,0.0796606733143211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0.0796606733143211,0,0,188,13323,NA,NA,0.223996907889493,6.89675962475349,0,0,0,5000,NA,NA,NA,1.86233333978942,0,0,3569,100214,NA,NA,5.86410452042361,56.3112773920669,0,0,9342,130728,NA,NA,10.361366808689,80.8005233606641,0,0,0,121,NA,NA,NA,0.0409469368307206,0,0,0,5,NA,NA,NA,0.00314513080284496,0,0,3,583,NA,NA,0.00497511777762152,0.33205441682672
"7","10159",-473.1596,-473.1596,-2071.23,-762.1155,-830.5474,-3361.563,NA,-1099.928,0.00211345178244296,0.00211345178244296,0.000482804903366599,0.00131213707108699,0.00120402520072906,0.000297480665987816,NA,0.000909150417118211,NA,1,4,45,NA,0.0831963536639544,0.0831963536639544,0.0831963536639544,NA,NA,NA,1,NA,NA,NA,0.0831963536639544,NA,NA,4,24,NA,NA,0.0831963536639544,0.0831963536639544,NA,NA,2,8,NA,NA,0.0831963536639544,0.0831963536639544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0.0831963536639544,0,310,789,12083,NA,0.655170052557319,1.21594454399638,6.96646962736755,0,0,0,5001,NA,NA,NA,2.4143871494296,0,0,9277,95963,NA,NA,9.48226694589792,56.3016137627034,0,0,39840,356368,NA,NA,45.4131364731022,172.819184149758,0,0,0,1,NA,NA,NA,0.00036263259660895,0,0,0,7,NA,NA,NA,0.00309756207953079,0,0,2,500,NA,NA,0.00218767973156295,0.261029525319659
"8","10188",-462.5635,-837.2843,-3108.027,-837.2843,-780.5741,-4433.757,NA,-462.5635,0.00216186534389333,0.0011943374550317,0.000321747526646326,0.0011943374550317,0.00128110835345421,0.000225542356065071,NA,0.00216186534389333,NA,NA,2,49,NA,NA,0.076542904786029,0.076542904786029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,NA,0.076542904786029,0.076542904786029,NA,NA,1,5,NA,NA,0.076542904786029,0.076542904786029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,16,NA,0.076542904786029,0.076542904786029,0.076542904786029,0,0,444,12891,NA,NA,0.524490356463956,7.06716931381593,0,0,0,0,NA,NA,NA,NA,0,0,844,82629,NA,NA,1.00802081204676,38.0522117548247,0,0,24000,118513,NA,NA,30.746600482901,70.5087224084958,0,0,0,0,NA,NA,NA,NA,0,0,0,5,NA,NA,NA,0.00466818974137295,0,17,149,561,NA,0.0367517108461865,0.280984000666667,0.460247177687156
"9","10194",-910.7239,-912.6883,-2464.583,-910.7239,-1218.488,-3775.984,NA,-1080.467,0.00109802762395936,0.00109566431387364,0.000405748152932971,0.00109802762395936,0.000820689247657753,0.000264831630642503,NA,0.000925525721748096,NA,NA,1,49,NA,NA,0.077437937497486,0.077437937497486,NA,NA,NA,1,NA,NA,NA,0.077437937497486,NA,NA,1,24,NA,NA,0.077437937497486,0.077437937497486,NA,NA,NA,6,NA,NA,NA,0.077437937497486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0.077437937497486,0,0,310,13193,NA,NA,0.339655937300829,6.90350706849596,0,0,0,5000,NA,NA,NA,2.02874076466485,0,0,3452,95851,NA,NA,3.7903913579077,50.6757612696865,0,0,0,188348,NA,NA,NA,98.9188864361051,0,0,0,0,NA,NA,NA,NA,0,0,0,5,NA,NA,NA,0.0030313355215534,0,0,3,524,NA,NA,0.00329408287187807,0.300470827566537
"10","10195",-565.2787,-867.3661,-2909.766,-867.3661,-967.4115,-4237.941,NA,-565.2787,0.00176903888294394,0.00115291570652807,0.0003436702470233,0.00115291570652807,0.00103368628551552,0.000235963643665639,NA,0.00176903888294394,NA,NA,1,47,NA,NA,0.0758634418583979,0.0758634418583979,NA,NA,NA,1,NA,NA,NA,0.0758634418583979,NA,NA,1,26,NA,NA,0.0758634418583979,0.0758634418583979,NA,NA,1,5,NA,NA,0.0758634418583979,0.0758634418583979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,NA,NA,0.0758634418583979,0.0758634418583979,0,0,340,12565,NA,NA,0.391991340219545,6.85581450005324,0,0,0,5000,NA,NA,NA,1.7183512351165,0,0,844,92421,NA,NA,0.973060856309694,42.9276352234308,0,0,24000,133348,NA,NA,24.8084708523725,72.7565887791773,0,0,0,0,NA,NA,NA,NA,0,0,0,5,NA,NA,NA,0.00425750768905889,0,0,149,574,NA,NA,0.237913407442008,0.422262829551923
