,Loc_ID,ecoli_copiespm3.ln.diffmeth.mean,staph_copiespm3.ln.diffmeth.mean,tetw_copiespm3.ln.diffmeth.mean,meca_copiespm3.ln.diffmeth.mean
1,2,2.601981178,5.091825823,8.382662957,1.098766731
2,3,2.611957775,6.346724696,7.63465643,2.003891956
3,4,2.466055695,7.055141934,9.558902795,1.729176349
4,5,3.55637916,8.410385545,10.0045822,3.267420087
5,6,3.852053633,7.802474031,9.816963417,2.985584098
6,7,2.718172068,7.310804524,9.646870245,0.949340225
7,8,2.156317792,6.756231473,8.833231386,2.066744366
8,9,3.237205135,5.16901704,9.441017007,1.587039985
9,11,3.360324435,6.836511545,9.731595865,0.836790443
10,12,3.910907793,8.467306608,10.14199944,3.70907576
11,13,3.904440602,8.110523532,9.372453061,2.402156674
12,14,3.637172401,8.132584892,10.14363955,3.110038657
13,15,3.856292811,8.566942851,10.6233933,4.15510589
14,16,4.351929115,9.052480185,9.869182265,3.956163887
15,17,3.849815281,8.19007669,10.77163352,3.255729356
16,18,3.496523438,8.665904101,10.38572013,2.79289373
17,19,4.369954099,8.785226407,10.2952952,3.659956268
18,20,4.141771108,8.340220354,10.42554138,2.443840464
19,21,2.298491387,7.324008605,8.654745623,1.971539897
20,22,3.298104193,5.335614756,9.731095519,1.94234031
21,23,3.472456057,7.50219175,8.667918705,2.682046076
22,24,4.763248094,9.651112699,11.16214454,4.269050538
23,25,3.268081255,7.961966856,9.352547044,2.957530709
24,26,4.334098577,8.526345785,10.36576223,3.121215724
25,27,2.935900732,7.373130901,9.389411219,2.07113359
26,28,3.718851771,7.792913696,10.02890312,2.984450076
27,29,3.722724206,8.864235319,10.42068448,2.721437421
28,30,3.548302911,8.687839243,9.97240434,2.461739638
29,31,3.695505721,8.310632333,10.1071654,2.842082686
30,32,3.727484005,7.84082715,10.04079491,2.74251595
31,33,3.545906267,8.345969366,10.22136991,2.772871994
32,34,4.730114473,8.656372899,10.60937724,3.649429221
33,35,3.779159372,8.604444556,10.48483546,2.815771305
34,36,5.116628486,8.359810603,10.70903444,2.983760018
35,37,4.416778877,8.575327284,10.14378773,3.234844103
36,38,4.803844317,10.00301781,11.03164878,4.951996458
37,39,3.482431849,7.957408921,9.65890949,1.444876212
38,40,3.697098423,7.81075241,10.3350675,2.064348633
39,41,3.051057547,6.308732904,9.560634452,1.500712391
40,42,2.765865464,7.28426135,9.278408612,1.976280249
41,43,3.569677236,7.871516864,9.802124186,2.052540796
42,44,3.183315787,7.243902359,9.427507722,1.561494401
43,45,3.991428253,8.745205068,9.855530572,3.465723231
44,46,3.559113943,6.855208748,9.962564795,3.225715842
45,47,3.532818465,8.495995913,9.884920596,2.90060251
46,48,4.283438214,8.624022383,10.38663867,3.196772258
47,49,3.534622194,8.415623165,9.655471397,3.136040149
48,50,4.312507277,9.281053245,11.55066123,4.635819885
49,51,5.047549268,7.781165058,11.27774869,5.313959051
50,52,3.392008023,6.401116981,9.646603154,2.219809153
51,53,3.437670542,8.632441041,10.37671209,3.710857111
52,54,3.784365512,8.280257065,10.02323797,2.178073878
53,55,3.555967536,8.273397863,10.06590093,3.254417931
54,56,2.68491339,2.963732466,8.613997291,1.546644917
55,57,4.511427204,8.870935796,10.28028337,3.36887956
56,58,3.962000966,9.259982861,10.87320785,3.769969825
57,59,3.282064027,6.855503697,9.172043097,2.096034331
58,60,2.845464568,7.369004231,9.47876552,2.339135109
59,61,3.54839745,7.644669597,10.07965955,3.127224563
60,62,3.838126954,8.038354548,9.844924166,1.935472296
61,63,5.273341271,8.967806059,11.79920893,3.590687041
