,Loc_ID,MindistPigs15.NEG,MindistPoultry250.NEG,MindistCows5.NEG,MindistHorses5.NEG,MindistGoats50.NEG,MindistSheep50.NEG,MindistFuranims250.NEG,MinDistAnyFarm.NEG,MindistPigs15.INV,MindistPoultry250.INV,MindistCows5.INV,MindistHorses5.INV,MindistGoats50.INV,MindistSheep50.INV,MindistFuranims250.INV,MinDistAnyFarm.INV,npigs.500m,npoultry.500m,ncows.500m,nhorses.500m,npigs.1000m,npoultry.1000m,ncows.1000m,nhorses.1000m,nsheep.1000m,npigs.3000m,npoultry.3000m,ncows.3000m,nhorses.3000m,ngoats.3000m,nsheep.3000m,nfuranims.3000m,AllFarm.250m,AllFarm.500m,AllFarm.1000m,AllFarm.3000m,PigFarm.500m,PoultryFarm.500m,CattleFarm.500m,PigFarm.1000m,PoultryFarm.1000m,CattleFarm.1000m,HorseFarm.1000m,PigFarm.3000m,PoultryFarm.3000m,CattleFarm.3000m,HorseFarm.3000m,GoatFarm.3000m,SheepFarm.3000m,FuranimFarm.3000m,npigsWghtDist.1000m.sum,npoultryWghtDist.1000m.sum,ncowsWghtDist.1000m.sum,nhorsesWghtDist.1000m.sum,nsheepWghtDist.1000m.sum,npigsWghtDist.3000m.sum,npoultryWghtDist.3000m.sum,ncowsWghtDist.3000m.sum,nhorsesWghtDist.3000m.sum,ngoatsWghtDist.3000m.sum,nsheepWghtDist.3000m.sum,nfuranimsWghtDist.3000m.sum,nAnyFarmWghtDist.1000m.sum,nPigFarmWghtDist.1000m.sum,nPoultryFarmWghtDist.1000m.sum,nCattleFarmWghtDist.1000m.sum,nHorseFarmWghtDist.1000m.sum,nAnyFarmWghtDist.3000m.sum,nPigFarmWghtDist.3000m.sum,nPoultryFarmWghtDist.3000m.sum,nCattleFarmWghtDist.3000m.sum,nHorseFarmWghtDist.3000m.sum,nGoatFarmWghtDist.3000m.sum,nSheepFarmWghtDist.3000m.sum,nFuranimFarmWghtDist.3000m.sum,nfatpigs.500m,ndairycows.500m,nmeatcows.500m,npiglets.1000m,nsows.1000m,nboars.1000m,nfatpigs.1000m,nlayinghens.1000m,nbroilerchicks.1000m,ndairycows.1000m,nmeatcows.1000m,npiglets.3000m,nsows.3000m,nboars.3000m,nfatpigs.3000m,nlayinghens.3000m,nbroilerchicks.3000m,notherpoultryanim.3000m,ndairycows.3000m,nmeatcows.3000m,DairyctlFarm.500m,PigMultipFarm.1000m,FatpigFarm.1000m,HensFarm.1000m,BroilerFarm.1000m,DairyctlFarm.1000m,MeatctlFarm.1000m,PigMultipFarm.3000m,FatpigFarm.3000m,HensFarm.3000m,BroilerFarm.3000m,OthpoultFarm.3000m,DairyctlFarm.3000m,MeatctlFarm.3000m,npigletsWghtDist.1000m.sum,nsowsWghtDist.1000m.sum,nboarsWghtDist.1000m.sum,nfatpigsWghtDist.1000m.sum,nlayinghensWghtDist.1000m.sum,nbroilerchicksWghtDist.1000m.sum,ndairycowsWghtDist.1000m.sum,nmeatcowsWghtDist.1000m.sum,npigletsWghtDist.3000m.sum,nsowsWghtDist.3000m.sum,nboarsWghtDist.3000m.sum,nfatpigsWghtDist.3000m.sum,nlayinghensWghtDist.3000m.sum,nbroilerchicksWghtDist.3000m.sum,notherpoultryanimWghtDist.3000m.sum,ndairycowsWghtDist.3000m.sum,nmeatcowsWghtDist.3000m.sum,nPigMultipFarmWghtDist.1000m.sum,nFatpigFarmWghtDist.1000m.sum,nHensFarmWghtDist.1000m.sum,nBroilerFarmWghtDist.1000m.sum,nDairyctlFarmWghtDist.1000m.sum,nMeatctlFarmWghtDist.1000m.sum,nPigMultipFarmWghtDist.3000m.sum,nFatpigFarmWghtDist.3000m.sum,nHensFarmWghtDist.3000m.sum,nBroilerFarmWghtDist.3000m.sum,nOthpoultFarmWghtDist.3000m.sum,nDairyctlFarmWghtDist.3000m.sum,nMeatctlFarmWghtDist.3000m.sum
1,2,-1288.560356,-1973.705083,-1234.181458,-2057.437016,-1805.364385,-2141.328195,-6475.484539,-1234.181458,0.00077606,0.000506661,0.000810254,0.000486042,0.000553905,0.000467,0.000154429,0.000810254,0,0,0,0,0,0,0,0,0,43724,33544,7685,61,815,887,20,0,0,0,68,0,0,0,0,0,0,0,14,2,46,2,1,3,0,0,0,0,0,0,20.60846118,13.64456389,3.290812197,0.024647758,0.389067761,0.378669764,0.007769809,0,0,0,0,0,0.030437829,0.006206151,0.000958521,0.020617781,0.000827687,0.000553905,0.001273784,0,0,0,0,0,0,0,0,0,0,0,0,13688,10598,33,19405,20934,12600,10,4659,3026,0,0,0,0,0,0,0,6,8,1,1,0,38,8,0,0,0,0,0,0,0,0,7.203318914,4.781396062,0.014635168,8.609111041,7.256502655,6.383932489,0.004128744,2.053633423,1.237178774,0,0,0,0,0,0,0.002942436,0.003263716,0.00045186,0.000506661,0,0.01733644,0.003281341
2,3,-446.114374,-425.4872946,-288.7802875,-1446.997534,-3916.813845,-1190.008909,-4282.474798,-288.7802875,0.002241578,0.002350246,0.00346284,0.000691086,0.00025531,0.00084033,0.00023351,0.00346284,235,1350,332,0,4207,1350,763,3,0,39514,41930,5364,103,0,873,0,0,3,7,59,0,1,2,2,1,4,0,12,2,39,4,0,2,0,4.972756121,3.172832696,1.607549376,0.003021301,0,21.19839258,20.55760016,3.922595533,0.050870934,0,0.700488951,0,0.013170446,0.00219294,0.002350246,0.00862726,0,0.043284893,0.007665182,0.002778387,0.029448788,0.00193551,0,0.001457026,0,235,331,1,1240,346,2,2619,1350,0,754,9,11572,9490,33,18419,41930,0,0,4803,561,2,1,1,1,0,4,0,6,6,2,0,0,35,4,1.470441071,0.410300492,0.002371679,3.089642879,3.172832696,0,1.597250996,0.010298381,5.797595025,4.438060671,0.017914038,10.94482284,20.55760016,0,0,3.617961485,0.304634048,0.00118584,0.0010071,0.002350246,0,0.00862726,0,0.003682968,0.003982214,0.002778387,0,0,0.026467373,0.002981415
3,4,-536.5339133,-1538.709082,-227.8235442,-536.5339133,-2718.513873,-801.2942294,-5783.439623,-227.8235442,0.001863815,0.000649895,0.004389362,0.001863815,0.000367848,0.001247981,0.000172907,0.004389362,0,0,244,0,5717,0,732,10,95,31961,76504,6502,91,400,1435,20,1,2,9,75,0,0,2,2,0,6,0,12,4,50,4,1,4,0,7.940184261,0,1.737141723,0.018638151,0.108173483,21.34800091,44.04705672,4.307638712,0.062811311,0.147139216,0.741423382,0.0111662,0.016563031,0.003067949,0,0.0122471,0,0.048748348,0.00807434,0.002266662,0.033058171,0.002114937,0.000367848,0.00286639,0,0,244,0,0,1348,9,4360,0,0,732,0,11705,4182,20,16054,63894,12600,10,4167,2335,2,1,1,0,0,6,0,6,6,3,1,0,43,7,0,2.512422732,0.016774336,5.410987194,0,0,1.737141723,0,5.863741113,3.886573462,0.021682884,11.57600345,35.85206313,8.188682414,0.006311174,3.406249167,0.901389546,0.001863815,0.001204134,0,0,0.0122471,0,0.004251126,0.003823214,0.001616767,0.000649895,0,0.030124183,0.002933988
4,5,-870.7421786,-378.3538724,-681.8065745,-590.6077026,-1046.25115,-2141.858241,-738.3139758,-378.3538724,0.001148446,0.002643028,0.001466692,0.001693171,0.000955793,0.000466884,0.001354437,0.002643028,1,59817,3,2,12251,231717,88,30,32,88703,531647,13751,285,6095,860,0,0,1,9,98,0,1,0,1,3,3,1,23,8,46,11,2,1,7,14.07110129,380.2587069,0.123604361,0.045865882,0.084576906,51.91526881,541.6702174,6.939879586,0.171084602,5.192058722,0.410120574,0,0.013086698,0.001148446,0.005413683,0.003791365,0.001378767,0.057915772,0.012624186,0.008036027,0.025308119,0.005759723,0.001323316,0.000337957,0.004526444,1,3,0,3850,0,0,8401,231710,0,88,0,29249,8878,39,50537,237002,254239,40406,6885,6866,0,0,1,3,0,2,1,11,12,3,3,2,36,10,4.421515455,0,0,9.649585839,380.2402057,0,0.123604361,0,16.65764968,4.571122242,0.020552386,30.66594451,383.870169,130.7152244,27.08482408,3.634896128,3.304983458,0,0.001148446,0.005413683,0,0.002587479,0.001203886,0.005970187,0.006653999,0.005413683,0.001439793,0.00118255,0.019473528,0.005834592
5,6,-523.8614381,-844.4387958,-637.6925577,-1094.138801,-2758.838112,-1348.416986,-2166.224295,-523.8614381,0.001908902,0.001184218,0.001568154,0.000913961,0.000362471,0.00074161,0.000461633,0.001908902,0,0,0,0,3833,13900,432,12,0,112744,248595,16100,788,5003,811,10253,0,0,9,130,0,0,0,2,1,4,2,36,6,64,19,1,1,2,7.044824816,16.46063642,0.505099908,0.016904913,0,64.24428882,165.121505,8.175509892,0.434234654,1.813801565,0.390438029,4.210072714,0.011840104,0.00310835,0.001184218,0.00503048,0.002517056,0.07397568,0.02093418,0.004315784,0.034690715,0.012430862,0.000362471,0.000433915,0.000807751,0,0,0,0,0,0,3833,0,13900,408,24,41216,11009,48,60471,2465,232950,13180,10263,5837,0,0,2,0,1,3,1,17,19,1,4,1,51,13,0,0,0,7.044824816,0,16.46063642,0.474866745,0.030233163,23.3334572,6.458743146,0.028204685,34.42388378,0.922868834,157.4596136,6.739022541,5.292132941,2.883376952,0,0.00310835,0,0.001184218,0.003770542,0.001259937,0.009667844,0.011266336,0.000426155,0.003378154,0.000511475,0.027704438,0.006986277
6,7,-752.2747685,-2473.937641,-662.1735235,-593.3106159,-9654.989812,-1567.715003,-9392.674392,-593.3106159,0.001329302,0.000404214,0.001510178,0.001685458,0.000103573,0.000637871,0.000106466,0.001685458,0,0,0,0,4230,0,350,102,15,21623,127089,2969,546,0,401,0,0,0,9,39,0,0,0,3,0,3,3,10,3,16,8,0,1,0,4.897284797,0,0.470185991,0.13955896,0.015995045,13.49635934,47.70064867,1.751682328,0.358962435,0,0.235563187,0,0.011044765,0.00345557,0,0.003624166,0.003965029,0.025703004,0.007144671,0.001153239,0.010079895,0.006687328,0,0.000637871,0,0,0,0,0,0,0,4230,0,0,127,223,4144,1105,7,16367,58639,68450,0,1970,999,0,0,3,0,0,2,1,1,9,1,2,0,13,3,0,0,0,4.897284797,0,0,0.158100364,0.312085627,1.853358245,0.492447876,0.002944954,11.14760826,21.79327051,25.90737817,0,1.11585719,0.635825138,0,0.00345557,0,0,0.002113988,0.001510178,0.000561861,0.00658281,0.00037145,0.000781788,0,0.007565387,0.002514508
7,8,-1024.873344,-80.9035213,-366.9378964,-1268.038079,-10699.2484,-1416.778959,-6931.51579,-80.9035213,0.00097573,0.012360401,0.002725257,0.00078862,9.35E-05,0.000705826,0.000144269,0.012360401,0,39950,60,0,0,39950,702,0,0,37340,136637,7242,194,0,256,0,1,2,6,74,0,1,1,0,1,5,0,20,4,39,10,0,0,0,0,493.7980369,0.814722721,0,0,20.06077656,546.5076467,4.345924,0.101019051,0,0.138398232,0,0.019148002,0,0.012360401,0.0067876,0,0.055764064,0.011142762,0.013814343,0.025509401,0.005297557,0,0,0,0,50,10,0,0,0,0,0,39950,642,60,10137,2968,14,24221,58747,77850,40,4007,3235,1,0,0,0,1,5,0,7,13,1,3,0,30,9,0,0,0,0,0,493.7980369,0.736967759,0.077754962,5.786501574,1.739921146,0.007408056,12.52694579,26.49259082,519.9948922,0.020163633,2.476581974,1.869342026,0,0,0,0.012360401,0.0067876,0,0.00431557,0.006827192,0.000450812,0.013363531,0,0.020398346,0.005111056
8,9,-234.6556376,-218.6208067,-619.1922462,-234.6556376,-9135.499422,-756.24617,-8560.749124,-218.6208067,0.004261564,0.00457413,0.001615007,0.004261564,0.000109463,0.001322321,0.000116812,0.00457413,7191,72104,0,11,16410,72104,751,12,110,28140,127237,3978,117,0,266,0,3,5,14,50,2,2,0,7,2,4,1,15,3,24,7,0,0,0,35.05130325,316.0736684,1.150966753,0.039774351,0.146229976,40.82841338,347.8984457,3.055538762,0.098530028,0,0.26147103,0,0.030779645,0.013546007,0.008913815,0.005475365,0.002844457,0.049876068,0.017330169,0.009388962,0.016836011,0.006320925,0,0,0,4610,0,0,4744,1287,9,10370,58604,13500,576,175,5099,1419,10,21612,58747,68450,40,2796,1182,0,2,5,1,1,4,0,3,12,1,2,0,20,4,9.841839641,2.688416005,0.019428146,22.50161946,254.3229128,61.75075558,0.868340475,0.282626278,9.96727687,2.735057453,0.01978149,28.10629757,254.3976297,93.48667059,0.014145397,2.054318642,1.00122012,0.002519969,0.011026039,0.004339685,0.00457413,0.005475365,0,0.002873313,0.014456856,0.004339685,0.005049277,0,0.014336084,0.002499928
9,11,-381.1510955,-1067.73666,-364.6546157,-660.7930845,-1535.42672,-281.3546947,-5524.375934,-281.3546947,0.002623631,0.000936561,0.002742321,0.001513333,0.000651285,0.003554233,0.000181016,0.003554233,123,0,168,2,506,20,353,65,100,17454,730162,2345,219,4570,545,15,0,5,11,52,0,0,4,1,0,6,3,8,11,19,10,1,3,0,0.745970041,0.022142136,0.632008436,0.091904187,0.35542325,9.832107364,469.5235289,1.649837909,0.178066074,2.629529976,0.608556863,0.00584151,0.020483998,0.001028447,0,0.012132916,0.003768402,0.043497533,0.004665626,0.007038825,0.018915397,0.007301215,0.000651285,0.004925185,0,80,163,5,33,13,0,460,20,0,348,5,3861,983,13,12597,705490,17672,7000,2242,103,4,0,1,0,0,6,0,2,6,8,2,1,18,1,0.086579838,0.029285822,0,0.630104381,0.022142136,0,0.618795592,0.013212844,2.728823297,0.71050475,0.009491486,6.383287832,452.1757196,12.87717737,4.470631908,1.562245742,0.087592167,0,0.001028447,0,0,0.012132916,0,0.001216814,0.003448812,0.00507635,0.001323814,0.000638662,0.018104557,0.000810839
10,12,-623.0241177,-216.8276284,-620.1940077,-140.919771,-1189.612085,-1878.957717,-1869.02576,-140.919771,0.001605074,0.004611958,0.001612399,0.007096236,0.00084061,0.00053221,0.000535038,0.007096236,0,36231,0,10,18588,226536,1482,54,0,75907,1410696,6224,387,2394,411,6889,2,2,16,93,0,1,0,3,3,6,4,19,18,36,14,1,3,2,25.21774843,380.391723,1.762640629,0.131398118,0,48.89291791,1020.68503,3.929007598,0.260243842,2.00699742,0.180049143,3.012345115,0.03013936,0.004298947,0.006798017,0.008006369,0.011036027,0.065664668,0.011564907,0.014061194,0.021962452,0.014798321,0.00084061,0.001539851,0.000897331,0,0,0,0,0,0,18588,190305,36231,683,799,27337,5176,14,43380,1118816,288895,2985,4914,1310,0,0,3,2,1,6,0,6,13,13,4,1,35,1,0,0,0,25.21774843,213.2958586,167.0958644,0.84149175,0.921148878,11.47469195,2.173012479,0.006229523,35.23898396,627.8694371,391.5489111,1.266682279,2.756887833,1.172119766,0,0.004298947,0.002186059,0.004611958,0.008006369,0,0.002882697,0.008682211,0.007041446,0.006596001,0.000423747,0.021399569,0.000562883
