"","Cluster","Variable","Estimate","Std. Error","z value","Pr(>|z|)","Covariate","BH_adjusted_pvalue"
"KRD_nGoatsWghtDist.3000m.sum","Cor(3) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0180979662755532,0.0591815364848551,-0.305804265155984,0.759753680824747,"KRD_nGoatsWghtDist.3000m.sum",0.924917524482301
"KRD_nCowsWghtDist.3000m.sum","Cor(3) clust","KRD_nCowsWghtDist.3000m.sum",-0.0056920282941089,0.0453637046803269,-0.125475384654318,0.900147211211727,"KRD_nCowsWghtDist.3000m.sum",0.995146628601611
"KRD_nPoultryWghtDist.3000m.sum","Cor(3) clust","KRD_nPoultryWghtDist.3000m.sum",8.52460199980813e-05,0.000336237490436129,0.253529194164249,0.799859304227591,"KRD_nPoultryWghtDist.3000m.sum",0.956415395802387
"KRD_nPigsWghtDist.3000m.sum","Cor(3) clust","KRD_nPigsWghtDist.3000m.sum",-0.000117928541690044,0.00481093065632026,-0.0245126255426521,0.980443713014871,"KRD_nPigsWghtDist.3000m.sum",0.995146628601611
"ecoli_RF_preds","Cor(3) clust","ecoli_RF_preds",-0.0143571852160309,0.261591897508583,-0.05488390639301,0.956230953390138,"ecoli_RF_preds",0.995146628601611
"staph_RF_preds","Cor(3) clust","staph_RF_preds",-0.109592511935996,0.146646794831682,-0.74732292691282,0.45486865636496,"staph_RF_preds",0.723442517678405
"tetw_RF_preds","Cor(3) clust","tetw_RF_preds",-0.0709264643439259,0.221313990444081,-0.320478900595517,0.748605322493723,"tetw_RF_preds",0.915497633594605
"meca_RF_preds","Cor(3) clust","meca_RF_preds",0.0854330632982435,0.210112849657095,0.406605609498281,0.684297676611402,"meca_RF_preds",0.890107832647501
"KRD_nGoatsWghtDist.3000m.sum1","Mor(5) clust","KRD_nGoatsWghtDist.3000m.sum",0.0019427843945571,0.0645620514453034,0.0300917388940624,0.975993889156621,"KRD_nGoatsWghtDist.3000m.sum",0.995146628601611
"KRD_nCowsWghtDist.3000m.sum1","Mor(5) clust","KRD_nCowsWghtDist.3000m.sum",-0.00556982187147832,0.0478520689660808,-0.116396678175533,0.907338167932925,"KRD_nCowsWghtDist.3000m.sum",0.995146628601611
"KRD_nPoultryWghtDist.3000m.sum1","Mor(5) clust","KRD_nPoultryWghtDist.3000m.sum",-0.000222403701080759,0.000370234991022751,-0.600709566825065,0.548033445942687,"KRD_nPoultryWghtDist.3000m.sum",0.797085361778915
"KRD_nPigsWghtDist.3000m.sum1","Mor(5) clust","KRD_nPigsWghtDist.3000m.sum",0.00169781272213281,0.00500590447292974,0.339162029821787,0.734487671584552,"KRD_nPigsWghtDist.3000m.sum",0.907308300192681
"ecoli_RF_preds1","Mor(5) clust","ecoli_RF_preds",0.166616795880952,0.279602206762371,0.59590658389387,0.551237634642738,"ecoli_RF_preds",0.797085361778915
"staph_RF_preds1","Mor(5) clust","staph_RF_preds",0.212338445728222,0.160069008708788,1.32654314186781,0.184659854952867,"staph_RF_preds",0.466509107249349
"tetw_RF_preds1","Mor(5) clust","tetw_RF_preds",0.239374747173125,0.243710013077689,0.982211375520374,0.325995724562748,"tetw_RF_preds",0.622355474165246
"meca_RF_preds1","Mor(5) clust","meca_RF_preds",0.179893902240127,0.225986896896324,0.796036870768916,0.42601060512074,"meca_RF_preds",0.712810224978691
"KRD_nGoatsWghtDist.3000m.sum2","Staph(2) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0782700451050371,0.0621160946701585,-1.26006062552157,0.20764749288621,"KRD_nGoatsWghtDist.3000m.sum",0.484510816734491
"KRD_nCowsWghtDist.3000m.sum2","Staph(2) clust","KRD_nCowsWghtDist.3000m.sum",0.0414637718152755,0.0424121163320675,0.977639773753166,0.328252518482323,"KRD_nCowsWghtDist.3000m.sum",0.622635832908497
"KRD_nPoultryWghtDist.3000m.sum2","Staph(2) clust","KRD_nPoultryWghtDist.3000m.sum",5.24178667002832e-05,0.000327157412630847,0.160222158131045,0.872706075210621,"KRD_nPoultryWghtDist.3000m.sum",0.995146628601611
"KRD_nPigsWghtDist.3000m.sum2","Staph(2) clust","KRD_nPigsWghtDist.3000m.sum",-0.00467512912410039,0.00468107566080365,-0.998729664475826,0.317925666357966,"KRD_nPigsWghtDist.3000m.sum",0.617474126568073
"ecoli_RF_preds2","Staph(2) clust","ecoli_RF_preds",-0.141166846069002,0.247132285012031,-0.571219766216015,0.56785068106924,"ecoli_RF_preds",0.808465376437562
"staph_RF_preds2","Staph(2) clust","staph_RF_preds",-0.11604705666279,0.139342607562144,-0.83281817882614,0.404947280615645,"staph_RF_preds",0.712367991030664
"tetw_RF_preds2","Staph(2) clust","tetw_RF_preds",-0.11676720485811,0.207173554227857,-0.563620223118271,0.573012620757021,"tetw_RF_preds",0.808958994009912
"meca_RF_preds2","Staph(2) clust","meca_RF_preds",-0.161621947883968,0.200884490693868,-0.804551647196435,0.421078454283412,"meca_RF_preds",0.712810224978691
"KRD_nGoatsWghtDist.3000m.sum3","Mor(47) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0579949554597929,0.173557437266975,-0.334154251025164,0.738263164062536,"KRD_nGoatsWghtDist.3000m.sum",0.908631586538505
"KRD_nCowsWghtDist.3000m.sum3","Mor(47) clust","KRD_nCowsWghtDist.3000m.sum",-0.118603722685282,0.131679771112439,-0.900698123054971,0.367748846919319,"KRD_nCowsWghtDist.3000m.sum",0.670391191823379
"KRD_nPoultryWghtDist.3000m.sum3","Mor(47) clust","KRD_nPoultryWghtDist.3000m.sum",0.000710352448956981,0.000729001333874388,0.97441858601507,0.329848744814621,"KRD_nPoultryWghtDist.3000m.sum",0.622635832908497
