"","Cluster","Covariate","Pr(>|z|)","BH_adjusted_pvalue_global","BH_adjusted_pvalue_local"
"KRD_nGoatsWghtDist.3000m.sum","Dolo(1) clust","KRD_nGoatsWghtDist.3000m.sum",0.0833069377961644,0.307594847247376,0.965073887590772
"KRD_nCowsWghtDist.3000m.sum","Dolo(1) clust","KRD_nCowsWghtDist.3000m.sum",0.293251573434557,0.627039198063437,0.965073887590772
"KRD_nPoultryWghtDist.3000m.sum","Dolo(1) clust","KRD_nPoultryWghtDist.3000m.sum",0.186951738232431,0.509145159441515,0.965073887590772
"KRD_nPigsWghtDist.3000m.sum","Dolo(1) clust","KRD_nPigsWghtDist.3000m.sum",0.544179651767014,0.813227758268143,0.965073887590772
"ecoli_RF_preds","Dolo(1) clust","ecoli_RF_preds",0.963364760960362,0.994975655570498,0.980443713014871
"staph_RF_preds","Dolo(1) clust","staph_RF_preds",0.903729607328705,0.994975655570498,0.980443713014871
"tetw_RF_preds","Dolo(1) clust","tetw_RF_preds",0.93879526570165,0.994975655570498,0.980443713014871
"meca_RF_preds","Dolo(1) clust","meca_RF_preds",0.878229588586801,0.994975655570498,0.980443713014871
"KRD_nGoatsWghtDist.3000m.sum1","Cor(3) clust","KRD_nGoatsWghtDist.3000m.sum",0.759753680824747,0.956542339136731,0.980443713014871
"KRD_nCowsWghtDist.3000m.sum1","Cor(3) clust","KRD_nCowsWghtDist.3000m.sum",0.900147211211727,0.994975655570498,0.980443713014871
"KRD_nPoultryWghtDist.3000m.sum1","Cor(3) clust","KRD_nPoultryWghtDist.3000m.sum",0.799859304227591,0.978171887972596,0.980443713014871
"KRD_nPigsWghtDist.3000m.sum1","Cor(3) clust","KRD_nPigsWghtDist.3000m.sum",0.980443713014871,0.994975655570498,0.980443713014871
"ecoli_RF_preds1","Cor(3) clust","ecoli_RF_preds",0.956230953390138,0.994975655570498,0.980443713014871
"staph_RF_preds1","Cor(3) clust","staph_RF_preds",0.45486865636496,0.733388230712836,0.965073887590772
"tetw_RF_preds1","Cor(3) clust","tetw_RF_preds",0.748605322493723,0.946473117438031,0.980443713014871
"meca_RF_preds1","Cor(3) clust","meca_RF_preds",0.684297676611402,0.91836522416012,0.980443713014871
"KRD_nGoatsWghtDist.3000m.sum2","Mor(5) clust","KRD_nGoatsWghtDist.3000m.sum",0.975993889156621,0.994975655570498,0.980443713014871
"KRD_nCowsWghtDist.3000m.sum2","Mor(5) clust","KRD_nCowsWghtDist.3000m.sum",0.907338167932925,0.994975655570498,0.980443713014871
"KRD_nPoultryWghtDist.3000m.sum2","Mor(5) clust","KRD_nPoultryWghtDist.3000m.sum",0.548033445942687,0.813227758268143,0.965073887590772
"KRD_nPigsWghtDist.3000m.sum2","Mor(5) clust","KRD_nPigsWghtDist.3000m.sum",0.734487671584552,0.940144219628226,0.980443713014871
