"","Cluster","Variable","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)","Strep(4)/Veill(6) clust","(Intercept)",-2.29171888516907,0.655398789740221,-3.4966785429638,0.000471089130687673
"KRD_nGoatsWghtDist.3000m.sum","Strep(4)/Veill(6) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0649420835532246,0.0529926759402084,-1.22549168165236,0.220390022338436
"KRD_nCowsWghtDist.3000m.sum","Strep(4)/Veill(6) clust","KRD_nCowsWghtDist.3000m.sum",0.0511908267585606,0.0373379409811758,1.37101365028052,0.170370700848702
"KRD_nPoultryWghtDist.3000m.sum","Strep(4)/Veill(6) clust","KRD_nPoultryWghtDist.3000m.sum",0.000200414640699805,0.000268068187971364,0.747625603084294,0.45468601705022
"KRD_nPigsWghtDist.3000m.sum","Strep(4)/Veill(6) clust","KRD_nPigsWghtDist.3000m.sum",-0.00375656585637709,0.00410707812017292,-0.914656538410067,0.360371967348499
"age","Strep(4)/Veill(6) clust","age",0.0169454056891223,0.00900732188958737,1.88129234159062,0.059932162231295
"gender1","Strep(4)/Veill(6) clust","gender1",-0.402219566896677,0.16564976333106,-2.42813245735111,0.0151767992735719
"smoked_ever1","Strep(4)/Veill(6) clust","smoked_ever1",0.146607245630632,0.174356047108204,0.840849790197691,0.400432089749568
"smoked_ever2","Strep(4)/Veill(6) clust","smoked_ever2",0.56839380297269,0.370014779104321,1.53613810872251,0.124504511493226
"sampling_seasonFall","Strep(4)/Veill(6) clust","sampling_seasonFall",-0.267402472320035,0.25660940503594,-1.04206029503316,0.297383725376101
"sampling_seasonSpring","Strep(4)/Veill(6) clust","sampling_seasonSpring",-0.379671400286241,0.252975210298964,-1.50082452678881,0.133400953130687
"sampling_seasonWinter","Strep(4)/Veill(6) clust","sampling_seasonWinter",-0.0317704363625259,0.247533960654012,-0.128347788233117,0.897873748263511
"(Intercept)1","Strep(4)/Veill(6) clust","ecoli_RF_preds",-1.93106280665207,0.997151375322509,-1.93657939450518,0.0527967787756206
"ecoli_RF_preds","Strep(4)/Veill(6) clust","ecoli_RF_preds",-0.0678343309504277,0.218518804541336,-0.31042788785528,0.75623558946664
"age1","Strep(4)/Veill(6) clust","ecoli_RF_preds",0.0168091415505558,0.0089860406926658,1.8705837337544,0.0614028009546256
"gender11","Strep(4)/Veill(6) clust","ecoli_RF_preds",-0.40415117153206,0.165213101546187,-2.44624165849871,0.014435420836403
"smoked_ever11","Strep(4)/Veill(6) clust","ecoli_RF_preds",0.133370199380446,0.173933741611078,0.766787387801191,0.443207936262793
"smoked_ever21","Strep(4)/Veill(6) clust","ecoli_RF_preds",0.600762753837536,0.366789692806995,1.6378943182399,0.101443741421508
"sampling_seasonFall1","Strep(4)/Veill(6) clust","ecoli_RF_preds",-0.269510321892516,0.254778896777723,-1.05782042901161,0.290137317284609
"sampling_seasonSpring1","Strep(4)/Veill(6) clust","ecoli_RF_preds",-0.383130060539239,0.251048954862141,-1.52611693105685,0.126980746221414
"sampling_seasonWinter1","Strep(4)/Veill(6) clust","ecoli_RF_preds",-0.0117586631751516,0.246485431336322,-0.0477053070090264,0.961951104538904
"(Intercept)2","Strep(4)/Veill(6) clust","staph_RF_preds",-2.24923719283715,1.1499098937163,-1.95601168850545,0.0504637772031682
"staph_RF_preds","Strep(4)/Veill(6) clust","staph_RF_preds",0.00980847208045555,0.123463750580163,0.0794441448146927,0.93667935709123
"age2","Strep(4)/Veill(6) clust","staph_RF_preds",0.0169232900189499,0.00900490371962915,1.87934158385947,0.0601978671235775
"gender12","Strep(4)/Veill(6) clust","staph_RF_preds",-0.403929205140225,0.165203512145285,-2.44504005934813,0.01448360536161
"smoked_ever12","Strep(4)/Veill(6) clust","staph_RF_preds",0.133591195641246,0.173931601097469,0.76806741729689,0.442447133144165
"smoked_ever22","Strep(4)/Veill(6) clust","staph_RF_preds",0.605092144801721,0.366993867613644,1.6487799884404,0.0991927161072291
"sampling_seasonFall2","Strep(4)/Veill(6) clust","staph_RF_preds",-0.269134057986548,0.255229103986533,-1.05448028372481,0.291663082734492
"sampling_seasonSpring2","Strep(4)/Veill(6) clust","staph_RF_preds",-0.381097735321323,0.25099843103499,-1.51832716144826,0.128931943713706
"sampling_seasonWinter2","Strep(4)/Veill(6) clust","staph_RF_preds",-0.0134001921210398,0.246671033667447,-0.0543241414356963,0.956676915864895
"(Intercept)3","Strep(4)/Veill(6) clust","tetw_RF_preds",-0.651534938559776,1.89984462613288,-0.342941169818698,0.731642718735066
"tetw_RF_preds","Strep(4)/Veill(6) clust","tetw_RF_preds",-0.155614670629354,0.183743393272913,-0.846913011986345,0.397043609205055
"age3","Strep(4)/Veill(6) clust","tetw_RF_preds",0.0167928645829775,0.0089916524384656,1.86760605994276,0.0618170011316686
"gender13","Strep(4)/Veill(6) clust","tetw_RF_preds",-0.403075542136521,0.16529464201046,-2.43852757254535,0.0147472336135895
"smoked_ever13","Strep(4)/Veill(6) clust","tetw_RF_preds",0.136019342711613,0.174006607567,0.781690676081019,0.434396382573036
"smoked_ever23","Strep(4)/Veill(6) clust","tetw_RF_preds",0.598063044827255,0.366581890393079,1.63145823757405,0.10279366506336
"sampling_seasonFall3","Strep(4)/Veill(6) clust","tetw_RF_preds",-0.273458008001996,0.254928484791294,-1.07268518159464,0.28341239122574
"sampling_seasonSpring3","Strep(4)/Veill(6) clust","tetw_RF_preds",-0.389034080466205,0.251239191966264,-1.54846096033633,0.121511354033389
"sampling_seasonWinter3","Strep(4)/Veill(6) clust","tetw_RF_preds",-0.0100735015882818,0.246637709881925,-0.040843314646022,0.967420808056578
"(Intercept)4","Strep(4)/Veill(6) clust","meca_RF_preds",-2.09068140883179,0.778464484806869,-2.68564777152355,0.00723893564630131
"meca_RF_preds","Strep(4)/Veill(6) clust","meca_RF_preds",-0.0312258740718753,0.177277503015929,-0.176141211042834,0.860183005305368
"age4","Strep(4)/Veill(6) clust","meca_RF_preds",0.0168159106716262,0.00898784369120776,1.87096162876933,0.0613503997348869
"gender14","Strep(4)/Veill(6) clust","meca_RF_preds",-0.403250547107318,0.16525636036187,-2.4401514484786,0.0146811056511668
"smoked_ever14","Strep(4)/Veill(6) clust","meca_RF_preds",0.133610006219796,0.173932686210196,0.768170774171393,0.442385734179358
"smoked_ever24","Strep(4)/Veill(6) clust","meca_RF_preds",0.603075244704008,0.366737937317313,1.64443103191206,0.100087199520411
"sampling_seasonFall4","Strep(4)/Veill(6) clust","meca_RF_preds",-0.268090919268756,0.254712219354845,-1.0525247667654,0.292558853686468
"sampling_seasonSpring4","Strep(4)/Veill(6) clust","meca_RF_preds",-0.382249883116876,0.25109255216882,-1.5223465603228,0.127922267395358
"sampling_seasonWinter4","Strep(4)/Veill(6) clust","meca_RF_preds",-0.0112657632179183,0.246553806845616,-0.0456929193754959,0.963555007436383
"(Intercept)5","Veill(6)/Strep(4)/Prev(11) clust","(Intercept)",0.163189486344513,0.503038128220558,0.324407787778985,0.745629324501518
"KRD_nGoatsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0119578017327823,0.041474638734691,-0.288315994969241,0.773104864548182
"KRD_nCowsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nCowsWghtDist.3000m.sum",-0.00580804893501495,0.0309389597368421,-0.187726057515073,0.851091402468791
"KRD_nPoultryWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nPoultryWghtDist.3000m.sum",-0.000121262328955777,0.000224434768291658,-0.540300996493526,0.58898947128461
"KRD_nPigsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nPigsWghtDist.3000m.sum",-0.00139345272802584,0.00328535398057727,-0.42414081899966,0.671463118008199
"age5","Veill(6)/Strep(4)/Prev(11) clust","age",-0.000408184686738197,0.00684485114315395,-0.0596338296043812,0.952447274176186
"gender15","Veill(6)/Strep(4)/Prev(11) clust","gender1",-0.00480011571458257,0.131722107658141,-0.0364412307085181,0.970930538646317
"smoked_ever15","Veill(6)/Strep(4)/Prev(11) clust","smoked_ever1",0.00573311445614968,0.138212807595812,0.0414803414812,0.966912964589433
"smoked_ever25","Veill(6)/Strep(4)/Prev(11) clust","smoked_ever2",-0.0203012386314831,0.323104397053474,-0.062831824068687,0.94990042398452
"sampling_seasonFall5","Veill(6)/Strep(4)/Prev(11) clust","sampling_seasonFall",-0.0212212377220673,0.209005515447259,-0.101534343132789,0.919126296539452
"sampling_seasonSpring5","Veill(6)/Strep(4)/Prev(11) clust","sampling_seasonSpring",0.0962293741187443,0.204135538920853,0.471399417404013,0.637355531946803
"sampling_seasonWinter5","Veill(6)/Strep(4)/Prev(11) clust","sampling_seasonWinter",-0.267409352927627,0.207805295564104,-1.28682646032539,0.198154782010766
"(Intercept)6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",-0.629565300219112,0.788960768479603,-0.797967814587715,0.424889167858774
"ecoli_RF_preds1","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.177416628312188,0.175355480999524,1.01175410828858,0.311655637345869
"age6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.000168716077031653,0.00682602339869745,0.0247165981095006,0.980281015748141
"gender16","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",-0.00843960133063654,0.131640139410552,-0.0641111546100358,0.948881720025455
"smoked_ever16","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.00337243972519281,0.137980673022518,0.0244413920538164,0.980500532092428
"smoked_ever26","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.00928922605123037,0.32147281493775,0.0288958369715621,0.976947665852461
"sampling_seasonFall6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",-0.00310489793668091,0.207866623694317,-0.0149369719943443,0.98808246382202
"sampling_seasonSpring6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",0.122033236904556,0.202891569429646,0.601470220017554,0.547526840931194
"sampling_seasonWinter6","Veill(6)/Strep(4)/Prev(11) clust","ecoli_RF_preds",-0.277225845985677,0.207502032590858,-1.33601508633073,0.181544342315118
"(Intercept)7","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",-0.336878889579402,0.905942106344054,-0.371854765575344,0.710000985687568
"staph_RF_preds1","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.0438280974346422,0.0983677722112179,0.445553421099477,0.65591986306667
"age7","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.000174561731587537,0.0068398393147216,0.0255213205391861,0.979639142693813
"gender17","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",-0.00875938319675519,0.13158688856564,-0.0665672947528182,0.946926182978616
"smoked_ever17","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.00460576091469574,0.137919374057389,0.0333945897461749,0.973359924015201
"smoked_ever27","Veill(6)/Strep(4)/Prev(11) clust","staph_RF_preds",0.00284821106293888,0.321320838101334,0.00886407205884559,0.992927586373871
