"","Cluster","Variable","Estimate","Std. Error","z value","Pr(>|z|)","Covariate","BH_adjusted_pvalue"
"KRD_nGoatsWghtDist.3000m.sum","Strep(4)/Veill(6) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0649420835532246,0.0529926759402084,-1.22549168165236,0.220390022338436,"KRD_nGoatsWghtDist.3000m.sum",0.626165397633446
"KRD_nCowsWghtDist.3000m.sum","Strep(4)/Veill(6) clust","KRD_nCowsWghtDist.3000m.sum",0.0511908267585606,0.0373379409811758,1.37101365028052,0.170370700848702,"KRD_nCowsWghtDist.3000m.sum",0.623205938528359
"KRD_nPoultryWghtDist.3000m.sum","Strep(4)/Veill(6) clust","KRD_nPoultryWghtDist.3000m.sum",0.000200414640699805,0.000268068187971364,0.747625603084294,0.45468601705022,"KRD_nPoultryWghtDist.3000m.sum",0.828794765256098
"KRD_nPigsWghtDist.3000m.sum","Strep(4)/Veill(6) clust","KRD_nPigsWghtDist.3000m.sum",-0.00375656585637709,0.00410707812017292,-0.914656538410067,0.360371967348499,"KRD_nPigsWghtDist.3000m.sum",0.725784102072502
"ecoli_RF_preds","Strep(4)/Veill(6) clust","ecoli_RF_preds",-0.0678343309504277,0.218518804541336,-0.31042788785528,0.75623558946664,"ecoli_RF_preds",0.919777626095838
"staph_RF_preds","Strep(4)/Veill(6) clust","staph_RF_preds",0.00980847208045555,0.123463750580163,0.0794441448146927,0.93667935709123,"staph_RF_preds",0.999432135380073
"tetw_RF_preds","Strep(4)/Veill(6) clust","tetw_RF_preds",-0.155614670629354,0.183743393272913,-0.846913011986345,0.397043609205055,"tetw_RF_preds",0.777881356809903
"meca_RF_preds","Strep(4)/Veill(6) clust","meca_RF_preds",-0.0312258740718753,0.177277503015929,-0.176141211042834,0.860183005305368,"meca_RF_preds",0.97851095542682
"KRD_nGoatsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nGoatsWghtDist.3000m.sum",-0.0119578017327823,0.041474638734691,-0.288315994969241,0.773104864548182,"KRD_nGoatsWghtDist.3000m.sum",0.919777626095838
"KRD_nCowsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nCowsWghtDist.3000m.sum",-0.00580804893501495,0.0309389597368421,-0.187726057515073,0.851091402468791,"KRD_nCowsWghtDist.3000m.sum",0.976494651840009
"KRD_nPoultryWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nPoultryWghtDist.3000m.sum",-0.000121262328955777,0.000224434768291658,-0.540300996493526,0.58898947128461,"KRD_nPoultryWghtDist.3000m.sum",0.907106779304639
"KRD_nPigsWghtDist.3000m.sum1","Veill(6)/Strep(4)/Prev(11) clust","KRD_nPigsWghtDist.3000m.sum",-0.00139345272802584,0.00328535398057727,-0.42414081899966,0.671463118008199,"KRD_nPigsWghtDist.3000m.sum",0.915883421629011
