"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Sphingomonas_175","population","GF",3.64045886483261,0.5335112675406,1.97967172327144e-10,"populationGF",7.72071972075862e-09,160,104,"population",2.59477678045303,4.68614094921218,"***"
"2","Corynebacterium_stationis_251","population","GF",3.25844619708502,0.341935866608051,3.62391280274518e-17,"populationGF",2.82665198614124e-15,160,57,"population",2.58825189853324,3.9286404956368,"***"
"3","Anaerococcus_octavius_83","population","GF",0.610283097807106,0.550971157499943,0.269762790142025,"populationGF",0.678757988099289,160,101,"population",-0.469620370892783,1.69018656650699,NA
"4","Finegoldia_magna_52","population","GF",0.391736437270996,0.627144534307512,0.5331471230681,"populationGF",0.748503171891245,160,118,"population",-0.837466849971729,1.62093972451372,NA
"5","Dolosigranulum_pigrum_1","population","GF",0.0963286949776152,1.09794241679944,0.93020226246582,"populationGF",0.967410352964453,160,119,"population",-2.0556384419493,2.24829583190453,NA
"6","Staphylococcus_2","population","GF",-0.331659994215339,0.563948212367599,0.557335512053914,"populationGF",0.748503171891245,160,157,"population",-1.43699849045583,0.773678502025154,NA
"7","Moraxella_5","population","GF",-0.355792654724361,1.05543298946609,0.736502119918262,"populationGF",0.873788556069513,160,53,"population",-2.4244413140779,1.71285600462918,NA
"8","Corynebacterium_67","population","GF",-0.465205443733295,0.409581918921738,0.25782561248267,"populationGF",0.670346592454943,160,68,"population",-1.2679860048199,0.337575117353312,NA
"9","Peptoniphilus_53","population","GF",-0.4988281875657,0.599434219282499,0.40662130912742,"populationGF",0.713881031892333,160,122,"population",-1.6737192573594,0.676062882227997,NA
"10","Corynebacterium_7","population","GF",-0.562710591212878,0.809254151621646,0.487900980809177,"populationGF",0.748503171891245,160,72,"population",-2.1488487283913,1.02342754596555,NA
"11","Lawsonella_clevelandensis_84","population","GF",-1.2587965310207,0.514384522756459,0.0155368892527086,"populationGF",0.166822768246354,160,109,"population",-2.26699019562336,-0.250602866418045,"*"
"12","Corynebacterium_3","population","GF",-1.43818694993062,0.591051732682922,0.0161233563524006,"populationGF",0.166822768246354,160,140,"population",-2.59664834598915,-0.279725553872096,"*"
"13","Streptococcus_8","population","GF",-1.52928350217456,0.634339561488775,0.0171100275124466,"populationGF",0.166822768246354,160,92,"population",-2.77258904269256,-0.285977961656563,"*"
