"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Jeotgalicoccus","population","GF",3.77950915127982,0.343971200915307,4.87309166625415e-21,"populationGF",3.50862599970299e-19,160,66,"population",3.10532559748582,4.45369270507383,"***"
"2","Sphingomonas","population","GF",3.50907618116528,0.558682680719667,3.36369175144017e-09,"populationGF",1.21092903051846e-07,160,109,"population",2.41405812695473,4.60409423537582,"***"
"3","Finegoldia","population","GF",0.49284312092931,0.624751830330019,0.431421223236824,"populationGF",0.690280324110018,160,119,"population",-0.731670466517528,1.71735670837615,NA
"4","Dolosigranulum","population","GF",0.104020742877987,1.09831396057269,0.924670326512543,"populationGF",0.971408577993361,160,119,"population",-2.04867461984448,2.25671610560046,NA
"5","Staphylococcus","population","GF",0.0564601190098362,0.540429305134199,0.916931944332913,"populationGF",0.971408577993361,160,160,"population",-1.00278131905319,1.11570155707287,NA
"6","Anaerococcus","population","GF",-0.0514476003278443,0.736811450695345,0.944425006382435,"populationGF",0.971408577993361,160,136,"population",-1.49559804369072,1.39270284303503,NA
"7","Moraxella","population","GF",-0.163671653122933,1.07495935288095,0.879185004946406,"populationGF",0.971408577993361,160,56,"population",-2.2705919847696,1.94324867852374,NA
"8","Peptoniphilus","population","GF",-0.480999432286104,0.604055549446753,0.427109209351712,"populationGF",0.690280324110018,160,122,"population",-1.66494830920174,0.702949444629531,NA
"9","Prevotella","population","GF",-0.565577101533994,0.724779378668255,0.436402036790036,"populationGF",0.690280324110018,160,81,"population",-1.98614468372377,0.854990480655787,NA
"10","Streptococcus","population","GF",-0.690011730963356,0.746865436053936,0.357014715399943,"populationGF",0.688131148927806,160,124,"population",-2.15386798562907,0.773844523702357,NA
"11","Corynebacterium","population","GF",-0.95481818985654,0.389753471887418,0.0154290547244065,"populationGF",0.171989323954503,160,160,"population",-1.71873499475588,-0.190901384957201,"*"
"12","Lawsonella","population","GF",-1.23110233850371,0.508818647946514,0.0167211842733544,"populationGF",0.171989323954503,160,109,"population",-2.22838688847888,-0.233817788528544,"*"
