"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Rothia","population","GF",2.51730974885042,0.432804565978483,2.61849158168802e-08,"populationGF",1.72820444391409e-06,193,193,"population",1.6690127995326,3.36560669816825,"***"
"2","Neisseria","population","GF",1.59236759141635,0.666848144131248,0.0179573546871597,"populationGF",0.0790123606235025,193,175,"population",0.285345228919107,2.8993899539136,"**"
"3","Streptococcus","population","GF",1.55125167910951,0.337805644958943,8.11434135632947e-06,"populationGF",0.000267773264758873,193,193,"population",0.889152614989977,2.21335074322903,"***"
"4","Prevotella","population","GF",1.40154669479604,0.406152400736473,0.000693219953361858,"populationGF",0.00762541948698044,193,193,"population",0.605487989352551,2.19760540023952,"***"
"5","Selenomonas","population","GF",1.39192925913035,0.521349190418528,0.00826734673092526,"populationGF",0.0436515907392854,193,177,"population",0.370084845910039,2.41377367235067,"***"
"6","Actinomyces","population","GF",1.36578398627198,0.425637276655945,0.00157260202049296,"populationGF",0.0138388977803381,193,192,"population",0.531534924026332,2.20003304851764,"***"
"7","Actinobacillus","population","GF",1.3168735350489,0.689207275283597,0.0575969609282042,"populationGF",0.165764817056851,193,84,"population",-0.0339727245069457,2.66771979460476,"*"
"8","Veillonella","population","GF",1.23735637888839,0.401720546951486,0.00238630453347651,"populationGF",0.0185289528481705,193,193,"population",0.449984106863478,2.0247286509133,"***"
"9","Leptotrichia","population","GF",1.15213798275613,0.523630923364658,0.029031807780797,"populationGF",0.0982615032580823,193,189,"population",0.125821372961395,2.17845459255086,"**"
"10","Campylobacter","population","GF",0.989758294417317,0.423275516333865,0.0204444507003346,"populationGF",0.0843333591388802,193,189,"population",0.160138282402942,1.81937830643169,"**"
"11","Oribacterium","population","GF",0.905747848019965,0.433200516355051,0.037917071154654,"populationGF",0.122074472985715,193,185,"population",0.0566748359640643,1.75482086007587,"*"
"12","Lachnoanaerobaculum","population","GF",0.832306883186814,0.464900463694219,0.0750514130451744,"populationGF",0.186920500414397,193,190,"population",-0.0788980256538546,1.74351179202748,"*"
"13","Haemophilus","population","GF",0.814178652023484,0.487753036643687,0.0967696202588184,"populationGF",0.22409806796779,193,189,"population",-0.141817299798143,1.77017460384511,"*"
"14","Megasphaera","population","GF",0.616987676363221,0.682246512225167,0.366993892755614,"populationGF",0.563292951671408,193,170,"population",-0.720215487598106,1.95419084032455,NA
"15","Gemella","population","GF",0.561437087395525,0.448535985642805,0.212264381045117,"populationGF",0.373585310639406,193,188,"population",-0.317693444464373,1.44056761925542,NA
"16","Atopobium","population","GF",0.53850552628009,0.605078806079299,0.37464098845026,"populationGF",0.564754957254934,193,180,"population",-0.647448933635335,1.72445998619551,NA
"17","Granulicatella","population","GF",0.377551728558224,0.456343458633786,0.409115407103037,"populationGF",0.600035930417787,193,189,"population",-0.516881450363996,1.27198490748044,NA
"18","Porphyromonas","population","GF",0.359561836011942,0.666032443025487,0.589948863754391,"populationGF",0.712015898080117,193,177,"population",-0.945861752318013,1.6649854243419,NA
"19","Alloprevotella","population","GF",0.331518453072904,0.546367381885791,0.544752580024896,"populationGF",0.696290265758262,193,182,"population",-0.739361615423247,1.40239852156906,NA
"20","Fusobacterium","population","GF",0.225390237178809,0.50115418033321,0.653425625474227,"populationGF",0.763293650996442,193,187,"population",-0.756871956274282,1.2076524306319,NA
"21","Stomatobaculum","population","GF",0.151846949874382,0.573800577970774,0.791587882634291,"populationGF",0.842603533454231,193,184,"population",-0.972802182948336,1.2764960826971,NA
"22","Capnocytophaga","population","GF",-0.0321836333999029,0.92833649366021,0.97238200291058,"populationGF",0.979804766291577,193,106,"population",-1.85172316097391,1.78735589417411,NA
