"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Corynebacterium_7","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.56424908643648,0.285348469755957,0.0484104224212027,"KRD_nCowsWghtDist.3000m.sum",0.204813325628165,836,501,"KRD_nCowsWghtDist.3000m.sum",0.00496608571480517,1.12353208715816,"*"
"2","Staphylococcus_2","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.560854622303979,0.187512746451654,0.00288375211260558,"KRD_nCowsWghtDist.3000m.sum",0.0209403589170489,836,830,"KRD_nCowsWghtDist.3000m.sum",0.193329639258737,0.928379605349221,"***"
"3","Moraxella_5","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.198761214632198,0.371290957982176,0.592605140156748,"KRD_nCowsWghtDist.3000m.sum",0.892966649551264,836,331,"KRD_nCowsWghtDist.3000m.sum",-0.528969063012866,0.926491492277262,NA
"4","Streptococcus_8","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.153528943094133,0.212172235989606,0.469563724483796,"KRD_nCowsWghtDist.3000m.sum",0.842636474211823,836,504,"KRD_nCowsWghtDist.3000m.sum",-0.262328639445494,0.569386525633761,NA
"5","Dolosigranulum_pigrum_1","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.125521871705618,0.315360927110346,0.690739289549457,"KRD_nCowsWghtDist.3000m.sum",0.90308146812387,836,738,"KRD_nCowsWghtDist.3000m.sum",-0.49258554543066,0.743629288841895,NA
"6","Finegoldia_magna_52","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.115872804880873,0.246833103532661,0.638911264435816,"KRD_nCowsWghtDist.3000m.sum",0.898880957367485,836,591,"KRD_nCowsWghtDist.3000m.sum",-0.367920078043143,0.59966568780489,NA
"7","Anaerococcus_octavius_83","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0910733777371907,0.199361097085996,0.647945809097358,"KRD_nCowsWghtDist.3000m.sum",0.898880957367485,836,457,"KRD_nCowsWghtDist.3000m.sum",-0.299674372551362,0.481821128025743,NA
"8","Corynebacterium_3","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0717006528618333,0.211588294391639,0.734816093031099,"KRD_nCowsWghtDist.3000m.sum",0.90308146812387,836,747,"KRD_nCowsWghtDist.3000m.sum",-0.343012404145779,0.486413709869446,NA
"9","Corynebacterium_67","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0352294152574294,0.212806042809263,0.868563952133469,"KRD_nCowsWghtDist.3000m.sum",0.974918721782465,836,344,"KRD_nCowsWghtDist.3000m.sum",-0.381870428648727,0.452329259163586,NA
"10","Peptoniphilus_53","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0156576468376285,0.215309870910187,0.942049741728235,"KRD_nCowsWghtDist.3000m.sum",0.992222718217318,836,603,"KRD_nCowsWghtDist.3000m.sum",-0.437664993821594,0.406349700146337,NA
"11","Lawsonella_clevelandensis_84","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.145500398226274,0.221798075681638,0.512049557989048,"KRD_nCowsWghtDist.3000m.sum",0.86654540582762,836,513,"KRD_nCowsWghtDist.3000m.sum",-0.580224626562285,0.289223830109736,NA
