"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Anaerococcus_octavius_83","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0332212041049389,0.150852799570723,0.825765647827424,"KRD_nPoultryWghtDist.3000m.sum",0.956149697484386,825,449,"KRD_nPoultryWghtDist.3000m.sum",-0.262450283053679,0.328892691263557,NA
"2","Corynebacterium_7","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0289510159030895,0.21591783023415,0.893377308006713,"KRD_nPoultryWghtDist.3000m.sum",0.992222718217318,825,497,"KRD_nPoultryWghtDist.3000m.sum",-0.394247931355844,0.452149963162023,NA
"3","Corynebacterium_3","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.031716029943595,0.160104890231441,0.843031298536034,"KRD_nPoultryWghtDist.3000m.sum",0.962371643769124,825,737,"KRD_nPoultryWghtDist.3000m.sum",-0.34552161479722,0.28208955491003,NA
"4","Lawsonella_clevelandensis_84","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0430459616768454,0.167830440065955,0.797656179638417,"KRD_nPoultryWghtDist.3000m.sum",0.943464298497052,825,505,"KRD_nPoultryWghtDist.3000m.sum",-0.371993624206117,0.285901700852426,NA
"5","Staphylococcus_2","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0573924767478624,0.141887375074112,0.685980738995298,"KRD_nPoultryWghtDist.3000m.sum",0.903081468123871,825,819,"KRD_nPoultryWghtDist.3000m.sum",-0.335491731893122,0.220706778397398,NA
"6","Streptococcus_8","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0613357133724556,0.160546747876321,0.702552298041301,"KRD_nPoultryWghtDist.3000m.sum",0.903081468123871,825,496,"KRD_nPoultryWghtDist.3000m.sum",-0.376007339210045,0.253335912465134,NA
"7","Peptoniphilus_53","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0807797486816547,0.162920937318087,0.620184719204523,"KRD_nPoultryWghtDist.3000m.sum",0.898283920436145,825,593,"KRD_nPoultryWghtDist.3000m.sum",-0.400104785825106,0.238545288461797,NA
"8","Finegoldia_magna_52","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.161682265205012,0.186773975659706,0.386991696136133,"KRD_nPoultryWghtDist.3000m.sum",0.842636474211819,825,583,"KRD_nPoultryWghtDist.3000m.sum",-0.527759257498037,0.204394727088012,NA
"9","Dolosigranulum_pigrum_1","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.186548786472625,0.238627693292104,0.434637102510115,"KRD_nPoultryWghtDist.3000m.sum",0.842636474211819,825,727,"KRD_nPoultryWghtDist.3000m.sum",-0.654259065325149,0.281161492379899,NA
"10","Corynebacterium_67","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.211602077391638,0.161026337598338,0.18927320783725,"KRD_nPoultryWghtDist.3000m.sum",0.533847509284551,825,339,"KRD_nPoultryWghtDist.3000m.sum",-0.527213699084379,0.104009544301104,NA
"11","Moraxella_5","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.459161653941643,0.28094889768161,0.102666158252897,"KRD_nPoultryWghtDist.3000m.sum",0.376442580260623,825,327,"KRD_nPoultryWghtDist.3000m.sum",-1.0098214933976,0.0914981855143124,NA
