"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Corynebacterium_7","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.303283041900578,0.179488829963673,0.0914651205329773,"KRD_nCowsWghtDist.3000m.sum",0.251529081465688,836,501,"KRD_nCowsWghtDist.3000m.sum",-0.04851506482822,0.655081148629377,NA
"2","Moraxella_5","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.197403276965435,0.231853838906106,0.394789071880071,"KRD_nCowsWghtDist.3000m.sum",0.651332354679095,836,331,"KRD_nCowsWghtDist.3000m.sum",-0.257030247290532,0.651836801221403,NA
"3","Finegoldia_magna_52","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.136584509084078,0.154126601506872,0.375778577611701,"KRD_nCowsWghtDist.3000m.sum",0.64299889946891,836,591,"KRD_nCowsWghtDist.3000m.sum",-0.165503629869392,0.438672648037547,NA
"4","Dolosigranulum_pigrum_1","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0902793851718396,0.196255274206034,0.645631150136382,"KRD_nCowsWghtDist.3000m.sum",0.822539753598428,836,738,"KRD_nCowsWghtDist.3000m.sum",-0.294380952271987,0.474939722615666,NA
"5","Peptoniphilus_53","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0656183675500441,0.133777627913871,0.623909181231914,"KRD_nCowsWghtDist.3000m.sum",0.822539753598428,836,603,"KRD_nCowsWghtDist.3000m.sum",-0.196585783161143,0.327822518261231,NA
"6","Streptococcus_8","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0521100112470664,0.135382494673443,0.700404384288518,"KRD_nCowsWghtDist.3000m.sum",0.869857057906708,836,504,"KRD_nCowsWghtDist.3000m.sum",-0.213239678312882,0.317459700807015,NA
"7","Staphylococcus_2","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0411337560180803,0.115040174202828,0.720764794925896,"KRD_nCowsWghtDist.3000m.sum",0.880934749353872,836,830,"KRD_nCowsWghtDist.3000m.sum",-0.184344985419464,0.266612497455624,NA
"8","Anaerococcus_octavius_83","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0182981244686625,0.12338389395322,0.882140646106448,"KRD_nCowsWghtDist.3000m.sum",0.917903104732385,836,457,"KRD_nCowsWghtDist.3000m.sum",-0.223534307679649,0.260130556616974,NA
"9","Corynebacterium_67","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.060258717297957,0.133411544497227,0.651622402201352,"KRD_nCowsWghtDist.3000m.sum",0.822539753598428,836,344,"KRD_nCowsWghtDist.3000m.sum",-0.321745344512523,0.201227909916609,NA
"10","Corynebacterium_3","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0631794341567339,0.131295589867667,0.630502913362347,"KRD_nCowsWghtDist.3000m.sum",0.822539753598428,836,747,"KRD_nCowsWghtDist.3000m.sum",-0.320518790297361,0.194159921983893,NA
"11","Lawsonella_clevelandensis_84","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.187324275813033,0.138387194178778,0.176229693882855,"KRD_nCowsWghtDist.3000m.sum",0.411202619059995,836,513,"KRD_nCowsWghtDist.3000m.sum",-0.458563176403437,0.0839146247773712,NA
