"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Corynebacterium_7","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",0.28407258628911,0.185879578444055,0.126917488394954,"KRD_nGoatsWghtDist.3000m.sum",0.309791007982823,689,414,"KRD_nGoatsWghtDist.3000m.sum",-0.0802513874612384,0.648396560039458,NA
"2","Dolosigranulum_pigrum_1","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",0.217655652275848,0.19971097944125,0.276167881188554,"KRD_nGoatsWghtDist.3000m.sum",0.518656752476065,689,606,"KRD_nGoatsWghtDist.3000m.sum",-0.173777867429001,0.609089171980698,NA
"3","Anaerococcus_octavius_83","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0234199850025448,0.136501813716126,0.863825044742319,"KRD_nGoatsWghtDist.3000m.sum",0.936824344298008,689,378,"KRD_nGoatsWghtDist.3000m.sum",-0.290963539886152,0.244123569881063,NA
"4","Lawsonella_clevelandensis_84","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0909113956581674,0.151962275864312,0.549874565479507,"KRD_nGoatsWghtDist.3000m.sum",0.760734500740012,689,423,"KRD_nGoatsWghtDist.3000m.sum",-0.388757456352219,0.206934665035884,NA
"5","Corynebacterium_3","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.101499284667537,0.144609316263648,0.482992785449304,"KRD_nGoatsWghtDist.3000m.sum",0.715200855376854,689,619,"KRD_nGoatsWghtDist.3000m.sum",-0.384933544544287,0.181934975209213,NA
"6","Moraxella_5","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.10314009307947,0.250676219358055,0.680875454171724,"KRD_nGoatsWghtDist.3000m.sum",0.832199402451568,689,270,"KRD_nGoatsWghtDist.3000m.sum",-0.594465483021258,0.388185296862318,NA
"7","Streptococcus_8","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.116161223768714,0.145216626943254,0.42404123868797,"KRD_nGoatsWghtDist.3000m.sum",0.677455881305584,689,409,"KRD_nGoatsWghtDist.3000m.sum",-0.400785812577492,0.168463365040064,NA
"8","Finegoldia_magna_52","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.156145056343592,0.169280115203723,0.356647206000379,"KRD_nGoatsWghtDist.3000m.sum",0.596996410044112,689,492,"KRD_nGoatsWghtDist.3000m.sum",-0.487934082142889,0.175643969455705,NA
"9","Staphylococcus_2","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.218487349269335,0.128962685480525,0.0906917659131239,"KRD_nGoatsWghtDist.3000m.sum",0.262483872517614,689,683,"KRD_nGoatsWghtDist.3000m.sum",-0.471254212811165,0.0342795142724941,NA
"10","Peptoniphilus_53","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.244274723084448,0.147325629347137,0.0977713567651333,"KRD_nGoatsWghtDist.3000m.sum",0.262483872517614,689,501,"KRD_nGoatsWghtDist.3000m.sum",-0.533032956604838,0.044483510435941,NA
"11","Corynebacterium_67","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.330098512639312,0.146117138231204,0.024194047843661,"KRD_nGoatsWghtDist.3000m.sum",0.0931470841980949,689,277,"KRD_nGoatsWghtDist.3000m.sum",-0.616488103572472,-0.0437089217061526,"**"
