"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Moraxella_5","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.207030762597334,0.232887733225844,0.374278945257744,"KRD_nPigsWghtDist.3000m.sum",0.650794738045944,836,331,"KRD_nPigsWghtDist.3000m.sum",-0.249429194525321,0.663490719719989,NA
"2","Finegoldia_magna_52","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.189645218597843,0.154752453660774,0.220748701494522,"KRD_nPigsWghtDist.3000m.sum",0.472156944863283,836,591,"KRD_nPigsWghtDist.3000m.sum",-0.113669590577273,0.49296002777296,NA
"3","Peptoniphilus_53","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.105885396485931,0.134348331885327,0.430842426692993,"KRD_nPigsWghtDist.3000m.sum",0.66349733710721,836,603,"KRD_nPigsWghtDist.3000m.sum",-0.157437334009309,0.369208126981171,NA
"4","Streptococcus_8","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0896513211586051,0.135967837565007,0.509852012260597,"KRD_nPigsWghtDist.3000m.sum",0.701046516858321,836,504,"KRD_nPigsWghtDist.3000m.sum",-0.17684564046881,0.35614828278602,NA
"5","Anaerococcus_octavius_83","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.00163679645435022,0.123940685992466,0.989466428832199,"KRD_nPigsWghtDist.3000m.sum",0.989466428832199,836,457,"KRD_nPigsWghtDist.3000m.sum",-0.244560540999584,0.241286948090883,NA
"6","Corynebacterium_67","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.0111938736264256,0.134027922200502,0.933459305365319,"KRD_nPigsWghtDist.3000m.sum",0.971302250177426,836,344,"KRD_nPigsWghtDist.3000m.sum",-0.27388860113941,0.251500853886559,NA
"7","Lawsonella_clevelandensis_84","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.0927854673297421,0.139127479517623,0.505017645115854,"KRD_nPigsWghtDist.3000m.sum",0.701046516858321,836,513,"KRD_nPigsWghtDist.3000m.sum",-0.365475327184283,0.179904392524799,NA
"8","Corynebacterium_7","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.107892430229573,0.180571041999453,0.550334212177884,"KRD_nPigsWghtDist.3000m.sum",0.743433935749071,836,501,"KRD_nPigsWghtDist.3000m.sum",-0.461811672548502,0.246026812089355,NA
"9","Staphylococcus_2","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.109606408014609,0.115503312502681,0.342927991803311,"KRD_nPigsWghtDist.3000m.sum",0.614080357415232,836,830,"KRD_nPigsWghtDist.3000m.sum",-0.335992900519864,0.116780084490645,NA
"10","Corynebacterium_3","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.109940253264186,0.131849016736456,0.404617397338817,"KRD_nPigsWghtDist.3000m.sum",0.662883821172104,836,747,"KRD_nPigsWghtDist.3000m.sum",-0.368364326067639,0.148483819539267,NA
"11","Dolosigranulum_pigrum_1","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.132047206395502,0.197109753738833,0.503099430454526,"KRD_nPigsWghtDist.3000m.sum",0.701046516858321,836,738,"KRD_nPigsWghtDist.3000m.sum",-0.518382323723615,0.25428791093261,NA
