"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Corynebacterium_7","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.127241004649813,0.1874185680882,0.497387054042462,"KRD_nPoultryWghtDist.3000m.sum",0.74523302767464,825,497,"KRD_nPoultryWghtDist.3000m.sum",-0.24009938880306,0.494581398102686,NA
"2","Anaerococcus_octavius_83","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0314719524228719,0.128740793871842,0.806936773859733,"KRD_nPoultryWghtDist.3000m.sum",0.899316796316175,825,449,"KRD_nPoultryWghtDist.3000m.sum",-0.220860003565939,0.283803908411683,NA
"3","Lawsonella_clevelandensis_84","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0171803492867137,0.144746026396241,0.905548033707366,"KRD_nPoultryWghtDist.3000m.sum",0.929695981272895,825,505,"KRD_nPoultryWghtDist.3000m.sum",-0.300882561023345,0.266521862449918,NA
"4","Corynebacterium_3","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0351628448391981,0.13719246320601,0.797782093814842,"KRD_nPoultryWghtDist.3000m.sum",0.899316796316175,825,737,"KRD_nPoultryWghtDist.3000m.sum",-0.304060072722978,0.233734383044581,NA
"5","Staphylococcus_2","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0380153538242378,0.12055317016446,0.752584204176507,"KRD_nPoultryWghtDist.3000m.sum",0.887391950533905,825,819,"KRD_nPoultryWghtDist.3000m.sum",-0.274299567346579,0.198268859698103,NA
"6","Peptoniphilus_53","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0732480140225255,0.139827775818287,0.600530336729828,"KRD_nPoultryWghtDist.3000m.sum",0.825729213003514,825,593,"KRD_nPoultryWghtDist.3000m.sum",-0.347310454626367,0.200814426581316,NA
"7","Finegoldia_magna_52","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0803028638428088,0.160782184867452,0.617597485370738,"KRD_nPoultryWghtDist.3000m.sum",0.834298357430646,825,583,"KRD_nPoultryWghtDist.3000m.sum",-0.395435946183014,0.234830218497396,NA
"8","Dolosigranulum_pigrum_1","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0885604210736081,0.20516213140797,0.66610321714367,"KRD_nPoultryWghtDist.3000m.sum",0.854832462001043,825,727,"KRD_nPoultryWghtDist.3000m.sum",-0.490678198633229,0.313557356486013,NA
"9","Streptococcus_8","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.165224512044633,0.141142586672613,0.242096181672676,"KRD_nPoultryWghtDist.3000m.sum",0.490563315494634,825,496,"KRD_nPoultryWghtDist.3000m.sum",-0.441863981922955,0.111414957833688,NA
"10","Corynebacterium_67","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.305916842758258,0.13880689158894,0.0278125289176354,"KRD_nPoultryWghtDist.3000m.sum",0.101979272697997,825,339,"KRD_nPoultryWghtDist.3000m.sum",-0.57797835027258,-0.0338553352439364,"*"
"11","Moraxella_5","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.32502369109533,0.242481334076469,0.180489803907314,"KRD_nPoultryWghtDist.3000m.sum",0.408756320613624,825,327,"KRD_nPoultryWghtDist.3000m.sum",-0.800287105885209,0.15023972369455,NA
