"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Nocardioides","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.324048865851041,0.218052611985603,0.137727672743712,"KRD_nPigsWghtDist.3000m.sum",0.393507636410605,836,397,"KRD_nPigsWghtDist.3000m.sum",-0.10333425364074,0.751431985342823,NA
"2","Finegoldia","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.149798025603281,0.229683969125575,0.514503760474422,"KRD_nPigsWghtDist.3000m.sum",0.818641508384292,836,595,"KRD_nPigsWghtDist.3000m.sum",-0.300382553882846,0.599978605089407,NA
"3","Streptococcus","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.129345000928481,0.21921824010262,0.555372904085485,"KRD_nPigsWghtDist.3000m.sum",0.837432197067504,836,655,"KRD_nPigsWghtDist.3000m.sum",-0.300322749672653,0.559012751529616,NA
"4","Peptoniphilus","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.11353035324933,0.198450612870561,0.567459505521389,"KRD_nPigsWghtDist.3000m.sum",0.837432197067504,836,625,"KRD_nPigsWghtDist.3000m.sum",-0.275432847976969,0.50249355447563,NA
"5","Lawsonella","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.01292678107996,0.207157666718404,0.950262581747127,"KRD_nPigsWghtDist.3000m.sum",0.990118187350498,836,513,"KRD_nPigsWghtDist.3000m.sum",-0.418955807848032,0.393102245688112,NA
"6","Moraxella","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.102640174481102,0.360826115412073,0.776147736631507,"KRD_nPigsWghtDist.3000m.sum",0.961067315527172,836,391,"KRD_nPigsWghtDist.3000m.sum",-0.809859360688765,0.604579011726561,NA
"7","Anaerococcus","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.152312217207709,0.203281576678606,0.453962330236369,"KRD_nPigsWghtDist.3000m.sum",0.769427678366727,836,674,"KRD_nPigsWghtDist.3000m.sum",-0.550744107497777,0.246119673082359,NA
"8","Dolosigranulum","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.228304892016102,0.29346086225543,0.436862348593128,"KRD_nPigsWghtDist.3000m.sum",0.769427678366727,836,739,"KRD_nPigsWghtDist.3000m.sum",-0.803488182036743,0.34687839800454,NA
"9","Corynebacterium","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.292233623942115,0.12855112714992,0.0233284052846738,"KRD_nPigsWghtDist.3000m.sum",0.0972016886861406,836,833,"KRD_nPigsWghtDist.3000m.sum",-0.544193833155959,-0.0402734147282715,"**"
"10","Staphylococcus","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.448522727372354,0.175057710300316,0.0106230502818597,"KRD_nPigsWghtDist.3000m.sum",0.0482865921902714,836,831,"KRD_nPigsWghtDist.3000m.sum",-0.791635839560974,-0.105409615183734,"***"
