"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Staphylococcus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.555286225901683,0.187827761878972,0.00322372068814437,"KRD_nCowsWghtDist.3000m.sum",0.0189630628714375,836,831,"KRD_nCowsWghtDist.3000m.sum",0.187143812618899,0.923428639184468,"***"
"2","Anaerococcus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.36095039129363,0.218110493466806,0.0984193803935915,"KRD_nCowsWghtDist.3000m.sum",0.317481872237392,836,674,"KRD_nCowsWghtDist.3000m.sum",-0.0665461759013095,0.788446958488569,NA
"3","Moraxella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.24889483369637,0.387147538769167,0.520515480332205,"KRD_nCowsWghtDist.3000m.sum",0.81864150838429,836,391,"KRD_nCowsWghtDist.3000m.sum",-0.509914342291196,1.00770400968394,NA
"4","Corynebacterium","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.216997548521827,0.137928631981799,0.116136488238196,"KRD_nCowsWghtDist.3000m.sum",0.341577906582928,836,833,"KRD_nCowsWghtDist.3000m.sum",-0.053342570162498,0.487337667206153,NA
"5","Dolosigranulum","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.125007553779706,0.31486814754946,0.691483947132125,"KRD_nCowsWghtDist.3000m.sum",0.898031100171591,836,739,"KRD_nCowsWghtDist.3000m.sum",-0.492134015417234,0.742149122976647,NA
"6","Finegoldia","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.10794457526376,0.2464388788493,0.661516381662944,"KRD_nCowsWghtDist.3000m.sum",0.882021842217259,836,595,"KRD_nCowsWghtDist.3000m.sum",-0.375075627280868,0.590964777808388,NA
"7","Nocardioides","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.00942778998398291,0.233959041340469,0.967868691043181,"KRD_nCowsWghtDist.3000m.sum",0.990118187350497,836,397,"KRD_nCowsWghtDist.3000m.sum",-0.449131931043337,0.467987511011303,NA
"8","Streptococcus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0137990770381731,0.235209699309358,0.953234948289089,"KRD_nCowsWghtDist.3000m.sum",0.990118187350497,836,655,"KRD_nCowsWghtDist.3000m.sum",-0.474810087684515,0.447211933608168,NA
"9","Peptoniphilus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0427414573082755,0.212927122118999,0.840969165528221,"KRD_nCowsWghtDist.3000m.sum",0.98937548885673,836,625,"KRD_nCowsWghtDist.3000m.sum",-0.460078616661513,0.374595702044962,NA
"10","Lawsonella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.141727122161066,0.222269335232574,0.523930565365946,"KRD_nCowsWghtDist.3000m.sum",0.81864150838429,836,513,"KRD_nCowsWghtDist.3000m.sum",-0.577375019216911,0.293920774894779,NA
