"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Streptococcus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.130596757224817,0.177978763889422,0.463344331140978,"KRD_nPoultryWghtDist.3000m.sum",0.77157118395974,825,644,"KRD_nPoultryWghtDist.3000m.sum",-0.218241619998451,0.479435134448084,NA
"2","Corynebacterium","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.00477822266531888,0.104368006494462,0.963497456665007,"KRD_nPoultryWghtDist.3000m.sum",0.990118187350499,825,822,"KRD_nPoultryWghtDist.3000m.sum",-0.199783070063827,0.209339515394465,NA
"3","Anaerococcus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.00779335826352153,0.165040115830757,0.962351337237415,"KRD_nPoultryWghtDist.3000m.sum",0.990118187350499,825,665,"KRD_nPoultryWghtDist.3000m.sum",-0.331271985291806,0.315685268764763,NA
"4","Peptoniphilus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0433278060822727,0.161117956039,0.788075198732279,"KRD_nPoultryWghtDist.3000m.sum",0.961067315527169,825,615,"KRD_nPoultryWghtDist.3000m.sum",-0.359118999918712,0.272463387754166,NA
"5","Lawsonella","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0457878384519342,0.16818703332122,0.785519630914317,"KRD_nPoultryWghtDist.3000m.sum",0.961067315527169,825,505,"KRD_nPoultryWghtDist.3000m.sum",-0.375434423761525,0.283858746857657,NA
"6","Staphylococcus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.063371957686161,0.142125741334197,0.655824982696747,"KRD_nPoultryWghtDist.3000m.sum",0.882021842217257,825,820,"KRD_nPoultryWghtDist.3000m.sum",-0.341938410701188,0.215194495328866,NA
"7","Nocardioides","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0851223059491326,0.177032414482893,0.630796957134948,"KRD_nPoultryWghtDist.3000m.sum",0.882021842217257,825,391,"KRD_nPoultryWghtDist.3000m.sum",-0.432105838335603,0.261861226437338,NA
"8","Finegoldia","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.169087586099168,0.186475673242564,0.36486675971805,"KRD_nPoultryWghtDist.3000m.sum",0.7297335194361,825,587,"KRD_nPoultryWghtDist.3000m.sum",-0.534579905654593,0.196404733456257,NA
"9","Dolosigranulum","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.199435309564787,0.238254816249304,0.402856826821367,"KRD_nPoultryWghtDist.3000m.sum",0.74603116078031,825,728,"KRD_nPoultryWghtDist.3000m.sum",-0.666414749413422,0.267544130283848,NA
"10","Moraxella","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.302070198930393,0.292947274688459,0.302850866129136,"KRD_nPoultryWghtDist.3000m.sum",0.644363544955609,825,385,"KRD_nPoultryWghtDist.3000m.sum",-0.876246857319773,0.272106459458988,NA
