"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Moraxella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.206990539755577,0.240149148032733,0.388981115109797,"KRD_nCowsWghtDist.3000m.sum",0.60508173461524,836,391,"KRD_nCowsWghtDist.3000m.sum",-0.26370179038858,0.677682869899734,NA
"2","Finegoldia","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.126930741493434,0.153727457259545,0.409222194607555,"KRD_nCowsWghtDist.3000m.sum",0.622729426576714,836,595,"KRD_nCowsWghtDist.3000m.sum",-0.174375074735273,0.428236557722142,NA
"3","Dolosigranulum","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0973654688452985,0.196057496269065,0.619592488669217,"KRD_nCowsWghtDist.3000m.sum",0.818329702015946,836,739,"KRD_nCowsWghtDist.3000m.sum",-0.286907223842069,0.481638161532666,NA
"4","Anaerococcus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0761181399653161,0.134597701624715,0.571872753511546,"KRD_nCowsWghtDist.3000m.sum",0.772030539902859,836,674,"KRD_nCowsWghtDist.3000m.sum",-0.187693355219125,0.339929635149757,NA
"5","Nocardioides","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0551348337494396,0.147097377409342,0.707892411550869,"KRD_nCowsWghtDist.3000m.sum",0.874317069511145,836,397,"KRD_nCowsWghtDist.3000m.sum",-0.23317602597287,0.34344569347175,NA
"6","Peptoniphilus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0366996567322679,0.131976858062881,0.781023855271193,"KRD_nCowsWghtDist.3000m.sum",0.896256883098091,836,625,"KRD_nCowsWghtDist.3000m.sum",-0.221974985070979,0.295374298535515,NA
"7","Staphylococcus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0360046047895479,0.115318025241454,0.754952733471121,"KRD_nCowsWghtDist.3000m.sum",0.88578046844262,836,831,"KRD_nCowsWghtDist.3000m.sum",-0.190018724683703,0.262027934262798,NA
"8","Corynebacterium","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.00484831812230841,0.084526228779931,0.954273418988649,"KRD_nCowsWghtDist.3000m.sum",0.954273418988649,836,833,"KRD_nCowsWghtDist.3000m.sum",-0.170519726530973,0.160823090286356,NA
"9","Streptococcus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0139673368022457,0.147922262341023,0.924795849476021,"KRD_nCowsWghtDist.3000m.sum",0.93840359695406,836,655,"KRD_nCowsWghtDist.3000m.sum",-0.30389497099065,0.275960297386159,NA
"10","Lawsonella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.186219257303286,0.13869408754806,0.179753505899696,"KRD_nCowsWghtDist.3000m.sum",0.393210794155585,836,513,"KRD_nCowsWghtDist.3000m.sum",-0.458059668897484,0.0856211542909119,NA
