"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Finegoldia","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.188340754104203,0.154343135317832,0.222712655011111,"KRD_nPigsWghtDist.3000m.sum",0.389747146269444,836,595,"KRD_nPigsWghtDist.3000m.sum",-0.114171791118747,0.490853299327153,NA
"2","Moraxella","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.183703653092485,0.241253652953972,0.44660490803317,"KRD_nPigsWghtDist.3000m.sum",0.638007011475957,836,391,"KRD_nPigsWghtDist.3000m.sum",-0.2891535066973,0.656560812882271,NA
"3","Nocardioides","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.176375022272901,0.147643309873975,0.232588330158898,"KRD_nPigsWghtDist.3000m.sum",0.397102027100558,836,397,"KRD_nPigsWghtDist.3000m.sum",-0.113005865080091,0.465755909625892,NA
"4","Streptococcus","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0947178592453846,0.148551752357806,0.523906773414105,"KRD_nPigsWghtDist.3000m.sum",0.669134967472534,836,655,"KRD_nPigsWghtDist.3000m.sum",-0.196443575375916,0.385879293866685,NA
"5","Peptoniphilus","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.086322927871496,0.132542601345396,0.515045614868929,"KRD_nPigsWghtDist.3000m.sum",0.669134967472534,836,625,"KRD_nPigsWghtDist.3000m.sum",-0.173460570765481,0.346106426508473,NA
"6","Anaerococcus","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0110226221935545,0.135229144130148,0.935055730715694,"KRD_nPigsWghtDist.3000m.sum",0.948607263044907,836,674,"KRD_nPigsWghtDist.3000m.sum",-0.254026500301536,0.276071744688645,NA
"7","Lawsonella","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.092059258608553,0.139434257763078,0.509289219222833,"KRD_nPigsWghtDist.3000m.sum",0.669134967472534,836,513,"KRD_nPigsWghtDist.3000m.sum",-0.365350403824186,0.18123188660708,NA
"8","Staphylococcus","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.108633557615575,0.115781559424681,0.348385859541323,"KRD_nPigsWghtDist.3000m.sum",0.541933559286503,836,831,"KRD_nPigsWghtDist.3000m.sum",-0.33556541408795,0.118298298856801,NA
"9","Dolosigranulum","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.125001492913579,0.196920831660073,0.525748903014134,"KRD_nPigsWghtDist.3000m.sum",0.669134967472534,836,739,"KRD_nPigsWghtDist.3000m.sum",-0.510966322967321,0.260963337140164,NA
"10","Corynebacterium","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.161523017336834,0.0847189090522704,0.0569252598237187,"KRD_nPigsWghtDist.3000m.sum",0.147584006950382,836,833,"KRD_nPigsWghtDist.3000m.sum",-0.327572079079284,0.00452604440561596,"*"
