"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Corynebacterium","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.000821360254797837,0.088599752381459,0.992605639236754,"KRD_nPoultryWghtDist.3000m.sum",0.992605639236754,825,822,"KRD_nPoultryWghtDist.3000m.sum",-0.174476874922457,0.172834154412862,NA
"2","Streptococcus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.017056633511796,0.154737614266935,0.91225482284977,"KRD_nPoultryWghtDist.3000m.sum",0.926531965073205,825,644,"KRD_nPoultryWghtDist.3000m.sum",-0.320342357474989,0.286229090451397,NA
"3","Lawsonella","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0203651368900561,0.145056171555976,0.888383030951232,"KRD_nPoultryWghtDist.3000m.sum",0.926531965073205,825,505,"KRD_nPoultryWghtDist.3000m.sum",-0.304675233139769,0.263944959359657,NA
"4","Anaerococcus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0216164249597959,0.140432967041144,0.877705733060406,"KRD_nPoultryWghtDist.3000m.sum",0.926531965073205,825,665,"KRD_nPoultryWghtDist.3000m.sum",-0.296865040360438,0.253632190440846,NA
"5","Peptoniphilus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0388062972400525,0.13793248361776,0.778519595592285,"KRD_nPoultryWghtDist.3000m.sum",0.923667316804405,825,615,"KRD_nPoultryWghtDist.3000m.sum",-0.309153965130861,0.231541370650756,NA
"6","Staphylococcus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0444925971593245,0.12084141025821,0.71282801281314,"KRD_nPoultryWghtDist.3000m.sum",0.891035016016425,825,820,"KRD_nPoultryWghtDist.3000m.sum",-0.281341761265416,0.192356566946767,NA
"7","Finegoldia","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.0868528343995767,0.160351986531453,0.588216774303548,"KRD_nPoultryWghtDist.3000m.sum",0.798038363027711,825,587,"KRD_nPoultryWghtDist.3000m.sum",-0.401142728001225,0.227437059202071,NA
"8","Dolosigranulum","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.093099329808847,0.204966115835005,0.649793808147935,"KRD_nPoultryWghtDist.3000m.sum",0.858218237176518,825,728,"KRD_nPoultryWghtDist.3000m.sum",-0.494832916845456,0.308634257227762,NA
"9","Nocardioides","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.113591956710098,0.153038739847587,0.458155736179507,"KRD_nPoultryWghtDist.3000m.sum",0.712686700723677,825,391,"KRD_nPoultryWghtDist.3000m.sum",-0.413547886811367,0.186363973391172,NA
"10","Moraxella","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.181153341057402,0.251483883819248,0.471525382312084,"KRD_nPoultryWghtDist.3000m.sum",0.717538625257519,825,385,"KRD_nPoultryWghtDist.3000m.sum",-0.674061753343128,0.311755071228323,NA
