"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Rothia_mucilaginosa_32","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.379988520299609,0.285090111165396,0.182962131348195,"KRD_nCowsWghtDist.3000m.sum",0.515386285487873,978,568,"KRD_nCowsWghtDist.3000m.sum",-0.178788097584566,0.938765138183785,NA
"2","Veillonella_62","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.288607485363048,0.330827467831781,0.383268518917734,"KRD_nCowsWghtDist.3000m.sum",0.747841012522408,978,501,"KRD_nCowsWghtDist.3000m.sum",-0.359814351587242,0.937029322313338,NA
"3","Prevotella_histicola_12","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0948463742425109,0.267077273140668,0.722590142890654,"KRD_nCowsWghtDist.3000m.sum",0.903237678613318,978,855,"KRD_nCowsWghtDist.3000m.sum",-0.428625081113199,0.618317829598221,NA
"4","Prevotella_pallens_51","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0154345673161217,0.310525857066102,0.960370473127293,"KRD_nCowsWghtDist.3000m.sum",0.993956043608364,978,667,"KRD_nCowsWghtDist.3000m.sum",-0.593196112533439,0.624065247165682,NA
"5","Prevotella_21","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0546233752278043,0.313109995608439,0.861553621994011,"KRD_nCowsWghtDist.3000m.sum",0.965326187108135,978,738,"KRD_nCowsWghtDist.3000m.sum",-0.668318966620345,0.559072216164736,NA
"6","Lachnoanaerobaculum_54","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.128498665595748,0.231308993205982,0.57869232185668,"KRD_nCowsWghtDist.3000m.sum",0.833981775328715,978,855,"KRD_nCowsWghtDist.3000m.sum",-0.581864292279474,0.324866961087977,NA
"7","Megasphaera_micronuciformis_45","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.142736778038287,0.227280575461199,0.530174104620815,"KRD_nCowsWghtDist.3000m.sum",0.821271956751636,978,869,"KRD_nCowsWghtDist.3000m.sum",-0.588206705942238,0.302733149865664,NA
"8","Prevotella_16","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.152420106435111,0.273118605510888,0.576954302350382,"KRD_nCowsWghtDist.3000m.sum",0.833981775328715,978,802,"KRD_nCowsWghtDist.3000m.sum",-0.687732573236452,0.382892360366229,NA
"9","Selenomonas_60","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.204625687419144,0.231370130270255,0.376747621806505,"KRD_nCowsWghtDist.3000m.sum",0.740954609868963,978,851,"KRD_nCowsWghtDist.3000m.sum",-0.658111142748843,0.248859767910556,NA
"10","Veillonella_6","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.204854420624199,0.166784024214009,0.219718298781043,"KRD_nCowsWghtDist.3000m.sum",0.563380253284725,978,969,"KRD_nCowsWghtDist.3000m.sum",-0.531751108083657,0.122042266835259,NA
"11","Prevotella_salivae_29","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.210637937932685,0.192634415783452,0.274528801843227,"KRD_nCowsWghtDist.3000m.sum",0.641525172036813,978,923,"KRD_nCowsWghtDist.3000m.sum",-0.588201392868251,0.166925517002881,NA
"12","Alloprevotella_61","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.215124411779451,0.271706442748282,0.428744759558532,"KRD_nCowsWghtDist.3000m.sum",0.785815193430793,978,782,"KRD_nCowsWghtDist.3000m.sum",-0.747669039566084,0.317420216007183,NA
"13","Actinomyces_graevenitzii_22","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.254575439606966,0.219645662899509,0.24679862897156,"KRD_nCowsWghtDist.3000m.sum",0.605640807292171,978,891,"KRD_nCowsWghtDist.3000m.sum",-0.685080938890003,0.175930059676072,NA
"14","Neisseria_13","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.288349739334177,0.299574100565979,0.336079833870109,"KRD_nCowsWghtDist.3000m.sum",0.718887345176705,978,755,"KRD_nCowsWghtDist.3000m.sum",-0.875514976443496,0.298815497775142,NA
"15","Streptococcus_4","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.308218513490591,0.142755532722743,0.0311485904971311,"KRD_nCowsWghtDist.3000m.sum",0.249188723977049,978,976,"KRD_nCowsWghtDist.3000m.sum",-0.588019357627167,-0.0284176693540147,"*"
"16","Gemella_27","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.314942239724295,0.172044523414815,0.0675428286988997,"KRD_nCowsWghtDist.3000m.sum",0.338673297727966,978,950,"KRD_nCowsWghtDist.3000m.sum",-0.652149505617332,0.0222650261687415,NA
"17","Actinomyces_19","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.315857566161023,0.24236962538073,0.192887991781755,"KRD_nCowsWghtDist.3000m.sum",0.524865283759877,978,842,"KRD_nCowsWghtDist.3000m.sum",-0.790902031907254,0.159186899585207,NA
"18","Campylobacter_concisus_50","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.329773836174197,0.156952580288164,0.0359512612111904,"KRD_nCowsWghtDist.3000m.sum",0.25963969636991,978,957,"KRD_nCowsWghtDist.3000m.sum",-0.637400893538998,-0.0221467788093966,NA
"19","Leptotrichia_66","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.340600556346029,0.270874873539354,0.208980885986824,"KRD_nCowsWghtDist.3000m.sum",0.551464280384723,978,680,"KRD_nCowsWghtDist.3000m.sum",-0.871515308483163,0.190314195791105,NA
"20","Granulicatella_48","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.355858412573917,0.154578750170597,0.0215904406918113,"KRD_nCowsWghtDist.3000m.sum",0.205623244683917,978,962,"KRD_nCowsWghtDist.3000m.sum",-0.658832762908287,-0.0528840622395464,"*"
"21","Leptotrichia_17","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.366993304886925,0.22265096982721,0.0996949071900253,"KRD_nCowsWghtDist.3000m.sum",0.404085633900939,978,888,"KRD_nCowsWghtDist.3000m.sum",-0.803389205748257,0.0694025959744065,NA
"22","Rothia_mucilaginosa_70","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.367542136042814,0.255763944951104,0.151107582217677,"KRD_nCowsWghtDist.3000m.sum",0.460772142428458,978,381,"KRD_nCowsWghtDist.3000m.sum",-0.868839468146978,0.133755196061351,NA
"23","Streptococcus_10","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.368434075049009,0.135774437270155,0.00680263883321647,"KRD_nCowsWghtDist.3000m.sum",0.109208130561907,978,977,"KRD_nCowsWghtDist.3000m.sum",-0.634551972098513,-0.102316177999504,"*"
"24","Porphyromonas_pasteri_35","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.372223354923598,0.296398723488264,0.209556426546195,"KRD_nCowsWghtDist.3000m.sum",0.551464280384723,978,756,"KRD_nCowsWghtDist.3000m.sum",-0.953164852960596,0.2087181431134,NA
"25","Streptococcus_8","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.382104640001244,0.135093697410312,0.00479718192285255,"KRD_nCowsWghtDist.3000m.sum",0.10367737327533,978,976,"KRD_nCowsWghtDist.3000m.sum",-0.646888286925456,-0.117320993077033,"*"
"26","Actinomyces_odontolyticus_15","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.388025175280811,0.154878660378887,0.0124352825955575,"KRD_nCowsWghtDist.3000m.sum",0.155441032444469,978,969,"KRD_nCowsWghtDist.3000m.sum",-0.69158734962343,-0.0844630009381932,"*"
"27","Veillonella_34","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.400889769662716,0.309954598474751,0.196260814751545,"KRD_nCowsWghtDist.3000m.sum",0.526874670473947,978,815,"KRD_nCowsWghtDist.3000m.sum",-1.00840078267323,0.206621243347797,NA
"28","Lachnospiraceae_65","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.402810226534086,0.281747477807831,0.153206737357462,"KRD_nCowsWghtDist.3000m.sum",0.460772142428458,978,664,"KRD_nCowsWghtDist.3000m.sum",-0.955035283037434,0.149414829969262,NA
"29","Streptococcus_36","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.404208859892925,0.185851202008397,0.0299361751631663,"KRD_nCowsWghtDist.3000m.sum",0.249188723977049,978,925,"KRD_nCowsWghtDist.3000m.sum",-0.768477215829382,-0.0399405039564676,"*"
"30","Veillonella_43","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.459170342494484,0.238373495175332,0.0544335500845437,"KRD_nCowsWghtDist.3000m.sum",0.317460303514721,978,816,"KRD_nCowsWghtDist.3000m.sum",-0.926382393038134,0.00804170804916543,NA
"31","Atopobium_parvulum_73","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.463596511201234,0.211737303026099,0.0288561459876888,"KRD_nCowsWghtDist.3000m.sum",0.249188723977049,978,898,"KRD_nCowsWghtDist.3000m.sum",-0.878601625132388,-0.0485913972700797,"*"
"32","Rothia_mucilaginosa_37","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.466702054298132,0.272177293999957,0.0867966784110133,"KRD_nCowsWghtDist.3000m.sum",0.37925946561957,978,635,"KRD_nCowsWghtDist.3000m.sum",-1.00016955053805,0.0667654419417827,NA
"33","Prevotella_109","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.500303583932536,0.239334535544007,0.0369047631242807,"KRD_nCowsWghtDist.3000m.sum",0.25963969636991,978,297,"KRD_nCowsWghtDist.3000m.sum",-0.969399273598789,-0.0312078942662837,NA
