"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Oribacterium_sinus_71","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",0.0670487459490887,0.155830691688411,0.667120249566824,"KRD_nGoatsWghtDist.3000m.sum",0.885601382273526,812,716,"KRD_nGoatsWghtDist.3000m.sum",-0.238379409760196,0.372476901658373,NA
"2","Veillonella_34","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0026490383735062,0.229290565985692,0.990785036696043,"KRD_nGoatsWghtDist.3000m.sum",0.993956043608363,812,672,"KRD_nGoatsWghtDist.3000m.sum",-0.452058547705462,0.44676047095845,NA
"3","Prevotella_melaninogenica_11","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.00810159700682454,0.154932492060752,0.95831006537868,"KRD_nGoatsWghtDist.3000m.sum",0.993956043608363,812,764,"KRD_nGoatsWghtDist.3000m.sum",-0.311769281445898,0.295566087432249,NA
"4","Rothia_mucilaginosa_49","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0134060764633205,0.198673366911243,0.946218443989124,"KRD_nGoatsWghtDist.3000m.sum",0.993956043608363,812,384,"KRD_nGoatsWghtDist.3000m.sum",-0.402805875609356,0.375993722682715,NA
"5","Veillonella_43","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0431370696850817,0.176338063360566,0.806809348897673,"KRD_nGoatsWghtDist.3000m.sum",0.942864859302587,812,676,"KRD_nGoatsWghtDist.3000m.sum",-0.38875967387179,0.302485534501627,NA
"6","Granulicatella_48","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0583163519848122,0.11195457042617,0.602588772325106,"KRD_nGoatsWghtDist.3000m.sum",0.839844978850321,812,800,"KRD_nGoatsWghtDist.3000m.sum",-0.277747310020106,0.161114606050482,NA
"7","Campylobacter_concisus_50","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.074004844454636,0.116106507676541,0.524058987966738,"KRD_nGoatsWghtDist.3000m.sum",0.821116460153624,812,796,"KRD_nGoatsWghtDist.3000m.sum",-0.301573599500656,0.153563910591384,NA
"8","Prevotella_63","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0832777865052201,0.19454123954253,0.668716086053246,"KRD_nGoatsWghtDist.3000m.sum",0.885601382273526,812,488,"KRD_nGoatsWghtDist.3000m.sum",-0.464578616008578,0.298023042998138,NA
"9","Veillonella_6","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0900669289525651,0.123379370712955,0.465608859154684,"KRD_nGoatsWghtDist.3000m.sum",0.789216633012665,812,804,"KRD_nGoatsWghtDist.3000m.sum",-0.331890495549957,0.151756637644827,NA
"10","Streptococcus_36","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.099913600408078,0.137484417096324,0.467610855060004,"KRD_nGoatsWghtDist.3000m.sum",0.789216633012665,812,765,"KRD_nGoatsWghtDist.3000m.sum",-0.369383057916874,0.169555857100718,NA
"11","Rothia_mucilaginosa_32","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.100534515802713,0.186979634110094,0.590953524240893,"KRD_nGoatsWghtDist.3000m.sum",0.834631175479639,812,474,"KRD_nGoatsWghtDist.3000m.sum",-0.467014598658497,0.26594556705307,NA
