"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Prevotella_63","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.590813417082284,0.250772752967262,0.018720246788773,"KRD_nPigsWghtDist.3000m.sum",0.197055229355505,978,584,"KRD_nPigsWghtDist.3000m.sum",0.0992988212664492,1.08232801289812,"*"
"2","Prevotella_melaninogenica_11","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.526682033459543,0.197952665694763,0.00795894728895461,"KRD_nPigsWghtDist.3000m.sum",0.121514130976968,978,919,"KRD_nPigsWghtDist.3000m.sum",0.138694808697807,0.914669258221279,"*"
"3","Rothia_mucilaginosa_37","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.488450908862404,0.257252048890618,0.0579684880022966,"KRD_nPigsWghtDist.3000m.sum",0.32378279706895,978,635,"KRD_nPigsWghtDist.3000m.sum",-0.015763106963207,0.992664924688015,NA
"4","Prevotella_109","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.468830815798265,0.226210271746584,0.0385418230252534,"KRD_nPigsWghtDist.3000m.sum",0.261300495086464,978,297,"KRD_nPigsWghtDist.3000m.sum",0.0254586831749606,0.91220294842157,NA
"5","Atopobium_parvulum_73","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.289039386938166,0.200126374355262,0.149059537477347,"KRD_nPigsWghtDist.3000m.sum",0.458644730699531,978,898,"KRD_nPigsWghtDist.3000m.sum",-0.103208306798148,0.681287080674481,NA
"6","Veillonella_34","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.267356698618323,0.292957778912709,0.361728053493292,"KRD_nPigsWghtDist.3000m.sum",0.73433818736411,978,815,"KRD_nPigsWghtDist.3000m.sum",-0.306840548050586,0.841553945287232,NA
"7","Leptotrichia_66","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.264271737383749,0.256021048585327,0.302285100657882,"KRD_nPigsWghtDist.3000m.sum",0.678988861437955,978,680,"KRD_nPigsWghtDist.3000m.sum",-0.237529517843493,0.766072992610991,NA
"8","Fusobacterium_periodonticum_18","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.222181212283573,0.283541697374835,0.433516384018716,"KRD_nPigsWghtDist.3000m.sum",0.785815193430796,978,802,"KRD_nPigsWghtDist.3000m.sum",-0.333560514571104,0.77792293913825,NA
"9","Stomatobaculum_79","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.218687410307394,0.304685389102718,0.47312686974067,"KRD_nPigsWghtDist.3000m.sum",0.791844133457188,978,651,"KRD_nPigsWghtDist.3000m.sum",-0.378495952333932,0.815870772948721,NA
"10","Actinomyces_graevenitzii_22","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.155694398961572,0.207601067599877,0.453498845196397,"KRD_nPigsWghtDist.3000m.sum",0.785815193430796,978,891,"KRD_nPigsWghtDist.3000m.sum",-0.251203693534187,0.562592491457331,NA
"11","Leptotrichia_17","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.148868966127912,0.210441574070253,0.479521031437692,"KRD_nPigsWghtDist.3000m.sum",0.795885529357166,978,888,"KRD_nPigsWghtDist.3000m.sum",-0.263596519049785,0.561334451305608,NA
"12","Oribacterium_sinus_71","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.138113247353583,0.199100268810521,0.4880845800321,"KRD_nPigsWghtDist.3000m.sum",0.801084252977693,978,861,"KRD_nPigsWghtDist.3000m.sum",-0.252123279515039,0.528349774222204,NA
"13","Selenomonas_60","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.121570430943463,0.218682606434179,0.578423322935414,"KRD_nPigsWghtDist.3000m.sum",0.833981775328716,978,851,"KRD_nPigsWghtDist.3000m.sum",-0.307047477667526,0.550188339554453,NA
"14","Actinomyces_odontolyticus_15","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.111194009333428,0.14638565960579,0.447724833978602,"KRD_nPigsWghtDist.3000m.sum",0.785815193430796,978,969,"KRD_nPigsWghtDist.3000m.sum",-0.175721883493921,0.398109902160777,NA
"15","Streptococcus_8","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0916960596208353,0.127685634390272,0.472885950386748,"KRD_nPigsWghtDist.3000m.sum",0.791844133457188,978,976,"KRD_nPigsWghtDist.3000m.sum",-0.158567783784097,0.341959903025768,NA
"16","Haemophilus_14","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0813223261925873,0.18175163834379,0.654683799168032,"KRD_nPigsWghtDist.3000m.sum",0.872911732224043,978,944,"KRD_nPigsWghtDist.3000m.sum",-0.27491088496124,0.437555537346415,NA
"17","Actinomyces_19","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0647713830065858,0.229078927936047,0.777445597342083,"KRD_nPigsWghtDist.3000m.sum",0.927532345269137,978,842,"KRD_nPigsWghtDist.3000m.sum",-0.384223315748066,0.513766081761238,NA
"18","Prevotella_histicola_12","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0630222200897903,0.252431695230121,0.802915482543903,"KRD_nPigsWghtDist.3000m.sum",0.941836343160003,978,855,"KRD_nPigsWghtDist.3000m.sum",-0.431743902561247,0.557788342740828,NA
"19","Streptococcus_10","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0533173095066804,0.128329044871479,0.677909330741289,"KRD_nPigsWghtDist.3000m.sum",0.885601382273524,978,977,"KRD_nPigsWghtDist.3000m.sum",-0.198207618441418,0.304842237454779,NA
"20","Campylobacter_concisus_50","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0511692078661751,0.148345853044618,0.73023836441589,"KRD_nPigsWghtDist.3000m.sum",0.907128403001105,978,957,"KRD_nPigsWghtDist.3000m.sum",-0.239588664101276,0.341927079833626,NA
"21","Lachnoanaerobaculum_54","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0470953180465229,0.218624821911391,0.829499047249296,"KRD_nPigsWghtDist.3000m.sum",0.953447180746317,978,855,"KRD_nPigsWghtDist.3000m.sum",-0.381409332899804,0.47559996899285,NA
"22","Rothia_mucilaginosa_49","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0225447045539327,0.253839088621985,0.929251720596512,"KRD_nPigsWghtDist.3000m.sum",0.993956043608366,978,457,"KRD_nPigsWghtDist.3000m.sum",-0.474979909145159,0.520069318253024,NA
"23","Rothia_mucilaginosa_70","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0223488857317095,0.241738750150956,0.92636373921711,"KRD_nPigsWghtDist.3000m.sum",0.993956043608366,978,381,"KRD_nPigsWghtDist.3000m.sum",-0.451459064564164,0.496156836027583,NA
"24","Granulicatella_48","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0171937369872185,0.146102195418048,0.906349098017958,"KRD_nPigsWghtDist.3000m.sum",0.98902310258045,978,962,"KRD_nPigsWghtDist.3000m.sum",-0.269166566032155,0.303554040006592,NA
"25","Prevotella_16","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.00921419242186067,0.258141742190425,0.971535213550355,"KRD_nPigsWghtDist.3000m.sum",0.993956043608366,978,802,"KRD_nPigsWghtDist.3000m.sum",-0.496743622271373,0.515172007115094,NA
"26","Prevotella_salivae_29","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.00734935447228769,0.18207102223284,0.96781218401217,"KRD_nPigsWghtDist.3000m.sum",0.993956043608366,978,923,"KRD_nPigsWghtDist.3000m.sum",-0.349509849104078,0.364208558048653,NA
"27","Gemella_27","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.00375326745963429,0.162610207113302,0.981591249081397,"KRD_nPigsWghtDist.3000m.sum",0.993956043608366,978,950,"KRD_nPigsWghtDist.3000m.sum",-0.314962738482437,0.322469273401706,NA
"28","Lachnospiraceae_65","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.000494248050176856,0.26629743749249,0.998519600436939,"KRD_nPigsWghtDist.3000m.sum",0.998519600436939,978,664,"KRD_nPigsWghtDist.3000m.sum",-0.521448729435103,0.522437225535456,NA
