"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Alloprevotella_61","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.459037912533038,0.200885443580126,0.0225754720593045,"KRD_nPoultryWghtDist.3000m.sum",0.210004391249345,967,775,"KRD_nPoultryWghtDist.3000m.sum",0.0653024431159903,0.852773381950085,"*"
"2","Prevotella_63","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.452526999390966,0.196165183548915,0.0213227065921119,"KRD_nPoultryWghtDist.3000m.sum",0.205623244683919,967,578,"KRD_nPoultryWghtDist.3000m.sum",0.0680432396350913,0.83701075914684,"*"
"3","Prevotella_16","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.434264136319378,0.201929522403226,0.0318158102953039,"KRD_nPoultryWghtDist.3000m.sum",0.249535767021991,967,792,"KRD_nPoultryWghtDist.3000m.sum",0.0384822724090548,0.830046000229702,"*"
"4","Porphyromonas_pasteri_35","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.410467425262671,0.219141616379281,0.0614316663267356,"KRD_nPoultryWghtDist.3000m.sum",0.323782797068948,967,746,"KRD_nPoultryWghtDist.3000m.sum",-0.0190501428407188,0.839984993366062,NA
"5","Veillonella_43","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.394252266871541,0.176240816491806,0.0255668279598646,"KRD_nPoultryWghtDist.3000m.sum",0.232425708726042,967,807,"KRD_nPoultryWghtDist.3000m.sum",0.0488202665476009,0.739684267195482,"*"
"6","Actinomyces_graevenitzii_22","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.354821096655675,0.162394442972029,0.0291898444229743,"KRD_nPoultryWghtDist.3000m.sum",0.249188723977049,967,881,"KRD_nPoultryWghtDist.3000m.sum",0.0365279884304985,0.673114204880851,"*"
"7","Neisseria_13","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.33335389074095,0.2214893230672,0.132713395243593,"KRD_nPoultryWghtDist.3000m.sum",0.431588277214936,967,746,"KRD_nPoultryWghtDist.3000m.sum",-0.100765182470762,0.767472963952662,NA
"8","Leptotrichia_17","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.301133515248459,0.164616408741994,0.0677346595455936,"KRD_nPoultryWghtDist.3000m.sum",0.338673297727968,967,879,"KRD_nPoultryWghtDist.3000m.sum",-0.0215146458858483,0.623781676382767,NA
"9","Oribacterium_sinus_71","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.2748396353583,0.155744754219582,0.078007899222701,"KRD_nPoultryWghtDist.3000m.sum",0.360038956118088,967,852,"KRD_nPoultryWghtDist.3000m.sum",-0.030420082912081,0.580099353628682,NA
"10","Fusobacterium_periodonticum_18","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.274629347384442,0.221798454780958,0.21601600024183,"KRD_nPoultryWghtDist.3000m.sum",0.561080520108648,967,793,"KRD_nPoultryWghtDist.3000m.sum",-0.160095623986235,0.709354318755119,NA
"11","Actinomyces_odontolyticus_15","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.267011673564558,0.11450913006186,0.019964622775103,"KRD_nPoultryWghtDist.3000m.sum",0.19964622775103,967,958,"KRD_nPoultryWghtDist.3000m.sum",0.0425737786433122,0.491449568485803,"*"
"12","Selenomonas_60","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.265322568093132,0.17106289707525,0.121300650103811,"KRD_nPoultryWghtDist.3000m.sum",0.416282788708533,967,843,"KRD_nPoultryWghtDist.3000m.sum",-0.069960710174358,0.600605846360621,NA
"13","Megasphaera_micronuciformis_45","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.264439820060962,0.168039295486886,0.115966272075983,"KRD_nPoultryWghtDist.3000m.sum",0.410500078145073,967,860,"KRD_nPoultryWghtDist.3000m.sum",-0.0649171990933351,0.593796839215259,NA
"14","Stomatobaculum_79","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.263295359861433,0.238337955662232,0.269623166096392,"KRD_nPoultryWghtDist.3000m.sum",0.641525172036816,967,645,"KRD_nPoultryWghtDist.3000m.sum",-0.203847033236542,0.730437752959408,NA
"15","Prevotella_109","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.258830084344093,0.161331613271972,0.109043812827181,"KRD_nPoultryWghtDist.3000m.sum",0.403865973434003,967,291,"KRD_nPoultryWghtDist.3000m.sum",-0.057379877668971,0.575040046357158,NA
"16","Streptococcus_8","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.256465428174731,0.0998811697457308,0.010422139714517,"KRD_nPoultryWghtDist.3000m.sum",0.142162485924681,967,965,"KRD_nPoultryWghtDist.3000m.sum",0.0606983354730991,0.452232520876364,"*"
"17","Prevotella_21","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.253971215876549,0.231497051453596,0.2729433164934,"KRD_nPoultryWghtDist.3000m.sum",0.641525172036816,967,734,"KRD_nPoultryWghtDist.3000m.sum",-0.199763004972499,0.707705436725597,NA
"18","Actinomyces_19","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.253568023246972,0.179195344845258,0.157455758459528,"KRD_nPoultryWghtDist.3000m.sum",0.470017189431428,967,833,"KRD_nPoultryWghtDist.3000m.sum",-0.0976548526497341,0.604790899143679,NA
"19","Veillonella_34","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.251547350572981,0.229164116884725,0.272685007262655,"KRD_nPoultryWghtDist.3000m.sum",0.641525172036816,967,805,"KRD_nPoultryWghtDist.3000m.sum",-0.197614318521081,0.700709019667042,NA
"20","Streptococcus_36","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.242271201541451,0.137408597226178,0.0782666556443047,"KRD_nPoultryWghtDist.3000m.sum",0.360038956118088,967,914,"KRD_nPoultryWghtDist.3000m.sum",-0.0270496490218584,0.51159205210476,NA
"21","Prevotella_melaninogenica_11","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.227229372336076,0.154847049930818,0.142657375381623,"KRD_nPoultryWghtDist.3000m.sum",0.449197641787496,967,908,"KRD_nPoultryWghtDist.3000m.sum",-0.0762708455283267,0.530729590200479,NA
"22","Prevotella_salivae_29","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.208605616497773,0.142423748483976,0.143409371834976,"KRD_nPoultryWghtDist.3000m.sum",0.449197641787496,967,913,"KRD_nPoultryWghtDist.3000m.sum",-0.0705449305308201,0.487756163526366,NA
"23","Gemella_27","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.205212887180758,0.127200665733698,0.10708269298375,"KRD_nPoultryWghtDist.3000m.sum",0.403865973434003,967,939,"KRD_nPoultryWghtDist.3000m.sum",-0.0441004176572903,0.454526192018806,NA
"24","Campylobacter_concisus_50","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.19149179690684,0.116042477290253,0.0993062342635351,"KRD_nPoultryWghtDist.3000m.sum",0.403865973434003,967,946,"KRD_nPoultryWghtDist.3000m.sum",-0.035951458582057,0.418935052395737,NA
"25","Rothia_mucilaginosa_37","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.189310351541327,0.201233566214231,0.347123812856652,"KRD_nPoultryWghtDist.3000m.sum",0.723871484470831,967,627,"KRD_nPoultryWghtDist.3000m.sum",-0.205107438238566,0.58372814132122,NA
"26","Haemophilus_14","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.187844807971859,0.142173912732377,0.186810267651802,"KRD_nPoultryWghtDist.3000m.sum",0.516814466883148,967,933,"KRD_nPoultryWghtDist.3000m.sum",-0.0908160609836001,0.466505676927319,NA
"27","Streptococcus_4","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.173744280484397,0.105545927525514,0.100134973921322,"KRD_nPoultryWghtDist.3000m.sum",0.403865973434003,967,965,"KRD_nPoultryWghtDist.3000m.sum",-0.0331257374656101,0.380614298434405,NA
"28","Veillonella_6","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.157390706368701,0.123311329490075,0.202204183403403,"KRD_nPoultryWghtDist.3000m.sum",0.539211155742408,967,958,"KRD_nPoultryWghtDist.3000m.sum",-0.0842994994318464,0.399080912169248,NA
"29","Streptococcus_10","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.152501416326432,0.100384472970064,0.129123047350411,"KRD_nPoultryWghtDist.3000m.sum",0.430410157834702,967,966,"KRD_nPoultryWghtDist.3000m.sum",-0.0442521506948933,0.349254983347757,NA
"30","Granulicatella_48","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.127387231182593,0.114287392238432,0.265354917353923,"KRD_nPoultryWghtDist.3000m.sum",0.639409439407044,967,951,"KRD_nPoultryWghtDist.3000m.sum",-0.0966160576047331,0.351390519969919,NA
"31","Rothia_mucilaginosa_32","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.103965467743362,0.210780623611584,0.621981387642494,"KRD_nPoultryWghtDist.3000m.sum",0.858631278731966,967,562,"KRD_nPoultryWghtDist.3000m.sum",-0.309164554535342,0.517095490022065,NA
"32","Lachnospiraceae_65","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.102591272834191,0.208309256433212,0.622507677080675,"KRD_nPoultryWghtDist.3000m.sum",0.858631278731966,967,658,"KRD_nPoultryWghtDist.3000m.sum",-0.305694869774905,0.510877415443287,NA
"33","Lachnoanaerobaculum_54","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.094487908413546,0.171017695547633,0.58076118531857,"KRD_nPoultryWghtDist.3000m.sum",0.831275334569181,967,847,"KRD_nPoultryWghtDist.3000m.sum",-0.240706774859815,0.429682591686907,NA
"34","Atopobium_parvulum_73","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0515357431999907,0.156547417906697,0.742091062353903,"KRD_nPoultryWghtDist.3000m.sum",0.910541180802335,967,888,"KRD_nPoultryWghtDist.3000m.sum",-0.255297195897136,0.358368682297117,NA
"35","Leptotrichia_66","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0368487688202789,0.200270625073382,0.854065174396275,"KRD_nPoultryWghtDist.3000m.sum",0.963771794196976,967,672,"KRD_nPoultryWghtDist.3000m.sum",-0.355681656323551,0.429379193964108,NA
"36","Rothia_mucilaginosa_49","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0218579936373095,0.198563802575161,0.912373812130463,"KRD_nPoultryWghtDist.3000m.sum",0.991710665359199,967,451,"KRD_nPoultryWghtDist.3000m.sum",-0.367327059410006,0.411043046684625,NA
"37","Prevotella_histicola_12","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.00474130308253844,0.192028704162662,0.980308055342918,"KRD_nPoultryWghtDist.3000m.sum",0.993956043608364,967,845,"KRD_nPoultryWghtDist.3000m.sum",-0.381117563241357,0.37163495707628,NA
"38","Prevotella_pallens_51","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.00766948177755671,0.229586475421246,0.973359641293618,"KRD_nPoultryWghtDist.3000m.sum",0.993956043608364,967,661,"KRD_nPoultryWghtDist.3000m.sum",-0.4576589736032,0.442320010048086,NA
"39","Rothia_mucilaginosa_70","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.049879497880025,0.189098399778856,0.79202251714282,"KRD_nPoultryWghtDist.3000m.sum",0.934355215295027,967,377,"KRD_nPoultryWghtDist.3000m.sum",-0.420512361446583,0.320753365686533,NA
"40","Veillonella_62","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",-0.262734537416235,0.244596417926852,0.283084411718009,"KRD_nPoultryWghtDist.3000m.sum",0.65453043171794,967,496,"KRD_nPoultryWghtDist.3000m.sum",-0.742143516552865,0.216674441720395,NA
