"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Capnocytophaga","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.112365879076833,0.306916069356277,0.714379983326405,"KRD_nCowsWghtDist.3000m.sum",0.894982883795738,978,614,"KRD_nCowsWghtDist.3000m.sum",-0.489189616861469,0.713921375015135,NA
"2","Porphyromonas","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.100418672828228,0.251962409937289,0.690336369437141,"KRD_nCowsWghtDist.3000m.sum",0.894982883795738,978,875,"KRD_nCowsWghtDist.3000m.sum",-0.594264996305314,0.393427650648858,NA
"3","Megasphaera","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.14727855020764,0.226930292224255,0.516526676607759,"KRD_nCowsWghtDist.3000m.sum",0.790776680135313,978,869,"KRD_nCowsWghtDist.3000m.sum",-0.59206192296718,0.297504822551901,NA
"4","Rothia","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.226348155643039,0.144224881770108,0.116956656043915,"KRD_nCowsWghtDist.3000m.sum",0.393492592514973,978,972,"KRD_nCowsWghtDist.3000m.sum",-0.509028923912451,0.0563326126263734,NA
"5","Selenomonas","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.237189714418578,0.216182463677273,0.272903198464863,"KRD_nCowsWghtDist.3000m.sum",0.59082135750125,978,875,"KRD_nCowsWghtDist.3000m.sum",-0.660907343226033,0.186527914388877,NA
"6","Leptotrichia","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.25576116858661,0.180616384702705,0.1571601122573,"KRD_nCowsWghtDist.3000m.sum",0.448805800048322,978,958,"KRD_nCowsWghtDist.3000m.sum",-0.609769282603912,0.098246945430692,NA
"7","Prevotella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.297491919265369,0.143515176054544,0.0385090581024665,"KRD_nCowsWghtDist.3000m.sum",0.249062155304907,978,975,"KRD_nCowsWghtDist.3000m.sum",-0.578781664332275,-0.0162021741984621,"*"
"8","Streptococcus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.298940189127876,0.114668684731724,0.00930820802530509,"KRD_nCowsWghtDist.3000m.sum",0.14607441899697,978,978,"KRD_nCowsWghtDist.3000m.sum",-0.523690811202055,-0.0741895670536974,"*"
"9","Gemella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.325159020155638,0.171158369094574,0.057832883228782,"KRD_nCowsWghtDist.3000m.sum",0.267515560091855,978,951,"KRD_nCowsWghtDist.3000m.sum",-0.660629423581002,0.0103113832697268,NA
"10","Actinomyces","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.342878972081436,0.137525136103718,0.0128651235301918,"KRD_nCowsWghtDist.3000m.sum",0.14607441899697,978,976,"KRD_nCowsWghtDist.3000m.sum",-0.612428238844722,-0.0733297053181493,"*"
"11","Veillonella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.344246661784619,0.129643152512344,0.00808408727923973,"KRD_nCowsWghtDist.3000m.sum",0.14607441899697,978,977,"KRD_nCowsWghtDist.3000m.sum",-0.598347240708813,-0.0901460828604244,"*"
"12","Campylobacter","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.35009554621624,0.142021625571782,0.0139118494282829,"KRD_nCowsWghtDist.3000m.sum",0.14607441899697,978,972,"KRD_nCowsWghtDist.3000m.sum",-0.628457932336933,-0.0717331600955479,"*"
"13","Granulicatella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.354693852564301,0.152959026031378,0.02065837427476,"KRD_nCowsWghtDist.3000m.sum",0.173530343907984,978,963,"KRD_nCowsWghtDist.3000m.sum",-0.654493543585801,-0.0548941615428006,"*"
"14","Fusobacterium","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.378169125714874,0.22451474825784,0.0925064526890653,"KRD_nCowsWghtDist.3000m.sum",0.340813246749188,978,931,"KRD_nCowsWghtDist.3000m.sum",-0.81821803230024,0.0618797808704925,NA
"15","Oribacterium","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.403154415771294,0.159680213538534,0.0117744184924152,"KRD_nCowsWghtDist.3000m.sum",0.14607441899697,978,941,"KRD_nCowsWghtDist.3000m.sum",-0.716127634306821,-0.090181197235767,"*"
"16","Alloprevotella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.410658702138206,0.21241660976774,0.0535635851725352,"KRD_nCowsWghtDist.3000m.sum",0.267515560091855,978,916,"KRD_nCowsWghtDist.3000m.sum",-0.826995257282976,0.00567785300656459,NA
"17","Lachnoanaerobaculum","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.439599954961121,0.18075804559838,0.0152400043125661,"KRD_nCowsWghtDist.3000m.sum",0.149401930995472,978,941,"KRD_nCowsWghtDist.3000m.sum",-0.793885724333947,-0.0853141855882955,"*"
"18","Atopobium","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.505926462531708,0.19148241492985,0.00840268267317749,"KRD_nCowsWghtDist.3000m.sum",0.14607441899697,978,926,"KRD_nCowsWghtDist.3000m.sum",-0.881231995794214,-0.130620929269202,"*"
"19","Stomatobaculum","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.50643373125072,0.189383367735623,0.00764897836483367,"KRD_nCowsWghtDist.3000m.sum",0.14607441899697,978,938,"KRD_nCowsWghtDist.3000m.sum",-0.877625132012542,-0.135242330488899,"*"
"20","Haemophilus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.544074925901922,0.186438756750475,0.00362097614398919,"KRD_nCowsWghtDist.3000m.sum",0.14607441899697,978,950,"KRD_nCowsWghtDist.3000m.sum",-0.909494889132852,-0.178654962670991,"*"
"21","Neisseria","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.553002741498861,0.249035114879735,0.0266651827301635,"KRD_nCowsWghtDist.3000m.sum",0.213660271624039,978,890,"KRD_nCowsWghtDist.3000m.sum",-1.04111156666314,-0.0648939163345811,"*"
