"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Capnocytophaga","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0169913430751419,0.219721501659026,0.938379795468952,"KRD_nGoatsWghtDist.3000m.sum",0.951979502649661,812,519,"KRD_nGoatsWghtDist.3000m.sum",-0.447645486326833,0.413662800176549,NA
"2","Rothia","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0675060247374187,0.106691124871249,0.52709892423799,"KRD_nGoatsWghtDist.3000m.sum",0.785513849991167,812,806,"KRD_nGoatsWghtDist.3000m.sum",-0.276620629485067,0.14160858001023,NA
"3","Granulicatella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0739453466457095,0.111036958511906,0.505637817498147,"KRD_nGoatsWghtDist.3000m.sum",0.776348807946029,812,801,"KRD_nGoatsWghtDist.3000m.sum",-0.291577785329044,0.143687092037625,NA
"4","Campylobacter","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0835434537887263,0.105061254357272,0.426745405563698,"KRD_nGoatsWghtDist.3000m.sum",0.728589716816071,812,808,"KRD_nGoatsWghtDist.3000m.sum",-0.289463512328979,0.122376604751526,NA
"5","Veillonella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.124795707279828,0.095904212946033,0.193554895148399,"KRD_nGoatsWghtDist.3000m.sum",0.504603051345165,812,811,"KRD_nGoatsWghtDist.3000m.sum",-0.312767964654053,0.0631765500943967,NA
"6","Haemophilus","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.12802312006907,0.137919063847886,0.353565264291927,"KRD_nGoatsWghtDist.3000m.sum",0.662180279818411,812,787,"KRD_nGoatsWghtDist.3000m.sum",-0.398344485210926,0.142298245072787,NA
"7","Actinomyces","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.130950193973182,0.101734952311248,0.198415836199998,"KRD_nGoatsWghtDist.3000m.sum",0.504603051345165,812,812,"KRD_nGoatsWghtDist.3000m.sum",-0.330350700503228,0.0684503125568629,NA
"8","Prevotella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.139109823288889,0.105507978193047,0.187730101313299,"KRD_nGoatsWghtDist.3000m.sum",0.504603051345165,812,810,"KRD_nGoatsWghtDist.3000m.sum",-0.345905460547261,0.0676858139694828,NA
"9","Oribacterium","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.140849554738535,0.1181242889092,0.233472261865291,"KRD_nGoatsWghtDist.3000m.sum",0.55088960664844,812,785,"KRD_nGoatsWghtDist.3000m.sum",-0.372373161000567,0.0906740515234972,NA
"10","Leptotrichia","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.141755959457199,0.133611933097828,0.289038891503601,"KRD_nGoatsWghtDist.3000m.sum",0.607678851530641,812,797,"KRD_nGoatsWghtDist.3000m.sum",-0.403635348328943,0.120123429414544,NA
"11","Lachnoanaerobaculum","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.141769439354874,0.133716727500322,0.289370881681257,"KRD_nGoatsWghtDist.3000m.sum",0.607678851530641,812,783,"KRD_nGoatsWghtDist.3000m.sum",-0.403854225255506,0.120315346545757,NA
"12","Streptococcus","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.144278586419364,0.0848267706056104,0.0893665651612399,"KRD_nGoatsWghtDist.3000m.sum",0.340813246749187,812,812,"KRD_nGoatsWghtDist.3000m.sum",-0.31053905680636,0.0219818839676326,NA
"13","Stomatobaculum","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.163221403196261,0.135435957523217,0.228507801384676,"KRD_nGoatsWghtDist.3000m.sum",0.55088960664844,812,777,"KRD_nGoatsWghtDist.3000m.sum",-0.428675879941766,0.102233073549244,NA
"14","Fusobacterium","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.169561854861955,0.166085981474376,0.307604207242551,"KRD_nGoatsWghtDist.3000m.sum",0.608611168399923,812,772,"KRD_nGoatsWghtDist.3000m.sum",-0.495090378551732,0.155966668827822,NA
"15","Neisseria","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.169778873218427,0.184225053353217,0.357029799158444,"KRD_nGoatsWghtDist.3000m.sum",0.662180279818411,812,742,"KRD_nGoatsWghtDist.3000m.sum",-0.530859977790734,0.191302231353879,NA
"16","Alloprevotella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.192401130815667,0.147695887671814,0.19306601150045,"KRD_nGoatsWghtDist.3000m.sum",0.504603051345165,812,761,"KRD_nGoatsWghtDist.3000m.sum",-0.481885070652422,0.0970828090210884,NA
"17","Atopobium","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.210396635562293,0.138458770981473,0.129025377356877,"KRD_nGoatsWghtDist.3000m.sum",0.41147335650389,812,772,"KRD_nGoatsWghtDist.3000m.sum",-0.48177582668598,0.0609825555613941,NA
"18","Selenomonas","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.22591720346311,0.159922129552729,0.158150615255123,"KRD_nGoatsWghtDist.3000m.sum",0.448805800048322,812,728,"KRD_nGoatsWghtDist.3000m.sum",-0.539364577386458,0.0875301704602385,NA
"19","Megasphaera","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.257191750417131,0.16156838906451,0.111823774191371,"KRD_nGoatsWghtDist.3000m.sum",0.380380908560776,812,724,"KRD_nGoatsWghtDist.3000m.sum",-0.57386579298357,0.0594822921493083,NA
"20","Gemella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.259207502381985,0.126615315649462,0.0409716545253225,"KRD_nGoatsWghtDist.3000m.sum",0.249062155304907,812,787,"KRD_nGoatsWghtDist.3000m.sum",-0.50737352105493,-0.0110414837090406,"*"
"21","Porphyromonas","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.283013580707967,0.186390535471749,0.129320197758365,"KRD_nGoatsWghtDist.3000m.sum",0.41147335650389,812,726,"KRD_nGoatsWghtDist.3000m.sum",-0.648339030232595,0.0823118688166614,NA
