"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Porphyromonas","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.473946569738952,0.186287744868316,0.0111452366662658,"KRD_nPoultryWghtDist.3000m.sum",0.146074418996972,967,865,"KRD_nPoultryWghtDist.3000m.sum",0.108822589797052,0.839070549680852,"*"
"2","Capnocytophaga","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.441977477748433,0.22691758837542,0.0518030502097352,"KRD_nPoultryWghtDist.3000m.sum",0.267515560091856,967,609,"KRD_nPoultryWghtDist.3000m.sum",-0.00278099546739002,0.886735950964257,NA
"3","Neisseria","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.358725408300999,0.184123456969293,0.051737969615422,"KRD_nPoultryWghtDist.3000m.sum",0.267515560091856,967,879,"KRD_nPoultryWghtDist.3000m.sum",-0.00215656735881586,0.719607383960814,NA
"4","Fusobacterium","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.349388324822531,0.165994388421037,0.0356254687121681,"KRD_nPoultryWghtDist.3000m.sum",0.241333820308235,967,921,"KRD_nPoultryWghtDist.3000m.sum",0.0240393235172996,0.674737326127763,"*"
"5","Stomatobaculum","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.347169088416628,0.140020094663395,0.0133691760473552,"KRD_nPoultryWghtDist.3000m.sum",0.146074418996972,967,928,"KRD_nPoultryWghtDist.3000m.sum",0.0727297028763736,0.621608473956882,"*"
"6","Oribacterium","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.310537417289823,0.11805914575745,0.00869737267441987,"KRD_nPoultryWghtDist.3000m.sum",0.146074418996972,967,931,"KRD_nPoultryWghtDist.3000m.sum",0.0791414916052214,0.541933342974425,"*"
"7","Selenomonas","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.301201740080934,0.159833935738824,0.0598725301157963,"KRD_nPoultryWghtDist.3000m.sum",0.267515560091856,967,866,"KRD_nPoultryWghtDist.3000m.sum",-0.0120727739671611,0.61447625412903,NA
"8","Alloprevotella","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.275534079456528,0.157049661558858,0.0797469242253038,"KRD_nPoultryWghtDist.3000m.sum",0.322054886294496,967,906,"KRD_nPoultryWghtDist.3000m.sum",-0.0322832571988339,0.583351416111889,NA
"9","Leptotrichia","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.27067864180037,0.133538248824138,0.0430038114789071,"KRD_nPoultryWghtDist.3000m.sum",0.249062155304908,967,948,"KRD_nPoultryWghtDist.3000m.sum",0.00894367410505881,0.532413609495681,"*"
"10","Lachnoanaerobaculum","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.269755473015361,0.133642985434643,0.0438823797441981,"KRD_nPoultryWghtDist.3000m.sum",0.249062155304908,967,931,"KRD_nPoultryWghtDist.3000m.sum",0.00781522156346132,0.531695724467261,"*"
