"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Rothia_mucilaginosa_32","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.132042414548063,0.177507694961641,0.457138328284302,"KRD_nCowsWghtDist.3000m.sum",0.773823375899901,978,568,"KRD_nCowsWghtDist.3000m.sum",-0.215872667576753,0.47995749667288,NA
"2","Prevotella_histicola_12","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.10769546562779,0.167582744208998,0.520611135981819,"KRD_nCowsWghtDist.3000m.sum",0.77952469558775,978,855,"KRD_nCowsWghtDist.3000m.sum",-0.220766713021845,0.436157644277426,NA
"3","Veillonella_34","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",0.0397471763490403,0.189745746823615,0.834121220403227,"KRD_nCowsWghtDist.3000m.sum",0.948998712530734,978,815,"KRD_nCowsWghtDist.3000m.sum",-0.332154487425246,0.411648840123326,NA
"4","Veillonella_62","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-9.9578434354657e-05,0.205885378158769,0.999614196200652,"KRD_nCowsWghtDist.3000m.sum",0.999614196200652,978,501,"KRD_nCowsWghtDist.3000m.sum",-0.403634919625543,0.403435762756833,NA
"5","Actinomyces_graevenitzii_22","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0486843776242308,0.135439351001892,0.719333810158515,"KRD_nCowsWghtDist.3000m.sum",0.8966807597087,978,891,"KRD_nCowsWghtDist.3000m.sum",-0.31414550558794,0.216776750339478,NA
"6","Rothia_mucilaginosa_37","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0505148576749513,0.170087471196938,0.766535923134652,"KRD_nCowsWghtDist.3000m.sum",0.910024014517034,978,635,"KRD_nCowsWghtDist.3000m.sum",-0.383886301220949,0.282856585871046,NA
"7","Lachnoanaerobaculum_54","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0664137561314699,0.144577792527279,0.646077393163264,"KRD_nCowsWghtDist.3000m.sum",0.875360768242595,978,855,"KRD_nCowsWghtDist.3000m.sum",-0.349786229484938,0.216958717221998,NA
"8","Prevotella_pallens_51","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0690814178122986,0.193547864313901,0.72122908439182,"KRD_nCowsWghtDist.3000m.sum",0.8966807597087,978,667,"KRD_nCowsWghtDist.3000m.sum",-0.448435231867544,0.310272396242946,NA
"9","Prevotella_16","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0692044121379376,0.170296759268171,0.684557558797701,"KRD_nCowsWghtDist.3000m.sum",0.880477064064663,978,802,"KRD_nCowsWghtDist.3000m.sum",-0.402986060303553,0.264577236027678,NA
"10","Selenomonas_60","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.104224328217299,0.143978022726438,0.46930966582405,"KRD_nCowsWghtDist.3000m.sum",0.773823375899901,978,851,"KRD_nCowsWghtDist.3000m.sum",-0.386421252761117,0.17797259632652,NA
