"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Prevotella_109","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.131454251628026,0.150061609068745,0.381248601775793,"KRD_nPigsWghtDist.3000m.sum",0.711664056648147,978,297,"KRD_nPigsWghtDist.3000m.sum",-0.162666502146714,0.425575005402766,NA
"2","Veillonella_34","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0957757845269034,0.190207369375776,0.614704985108497,"KRD_nPigsWghtDist.3000m.sum",0.873692364621214,978,815,"KRD_nPigsWghtDist.3000m.sum",-0.277030659449617,0.468582228503424,NA
"3","Rothia_mucilaginosa_37","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.094136434768283,0.170500649577861,0.580996458275318,"KRD_nPigsWghtDist.3000m.sum",0.838551589263346,978,635,"KRD_nPigsWghtDist.3000m.sum",-0.240044838404324,0.42831770794089,NA
"4","Prevotella_63","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0786444464080211,0.166592906249928,0.636980334817136,"KRD_nPigsWghtDist.3000m.sum",0.885377990077347,978,584,"KRD_nPigsWghtDist.3000m.sum",-0.247877649841837,0.405166542657879,NA
"5","Prevotella_histicola_12","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0566369236557415,0.168035075484585,0.73614988846693,"KRD_nPigsWghtDist.3000m.sum",0.912044109605046,978,855,"KRD_nPigsWghtDist.3000m.sum",-0.272711824294046,0.385985671605529,NA
"6","Veillonella_62","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",0.0203838410695742,0.206407797732606,0.921353307775598,"KRD_nPigsWghtDist.3000m.sum",0.966213206656058,978,501,"KRD_nPigsWghtDist.3000m.sum",-0.384175442486334,0.424943124625483,NA
"7","Leptotrichia_66","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.0229062799728618,0.168418588383189,0.891843508645749,"KRD_nPigsWghtDist.3000m.sum",0.963201554906479,978,680,"KRD_nPigsWghtDist.3000m.sum",-0.353006713203913,0.307194153258189,NA
"8","Actinomyces_graevenitzii_22","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.0321359306553262,0.135788897028242,0.812970417077701,"KRD_nPigsWghtDist.3000m.sum",0.940258302614481,978,891,"KRD_nPigsWghtDist.3000m.sum",-0.29828216883068,0.234010307520027,NA
"9","Prevotella_16","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.0455475278982724,0.170738117333021,0.789704925769373,"KRD_nPigsWghtDist.3000m.sum",0.932984722427952,978,802,"KRD_nPigsWghtDist.3000m.sum",-0.380194237870994,0.289099182074449,NA
"10","Actinomyces_19","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.0504890155724727,0.152101320420718,0.740004675240924,"KRD_nPigsWghtDist.3000m.sum",0.912781097213475,978,842,"KRD_nPigsWghtDist.3000m.sum",-0.34860760359708,0.247629572452135,NA
"11","Selenomonas_60","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.0858993445879885,0.144356888408679,0.551951599481168,"KRD_nPigsWghtDist.3000m.sum",0.812589372444622,978,851,"KRD_nPigsWghtDist.3000m.sum",-0.368838845869,0.197040156693023,NA
"12","Rothia_mucilaginosa_32","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.108254391230804,0.177976038016141,0.543164116865785,"KRD_nPigsWghtDist.3000m.sum",0.810981189288511,978,568,"KRD_nPigsWghtDist.3000m.sum",-0.45708742574244,0.240578643280833,NA
"13","Rothia_mucilaginosa_49","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.111844656262524,0.167899588331954,0.505481898525556,"KRD_nPigsWghtDist.3000m.sum",0.806418220248358,978,457,"KRD_nPigsWghtDist.3000m.sum",-0.440927849393153,0.217238536868106,NA
"14","Atopobium_parvulum_73","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.113886508984684,0.135132620456223,0.399564175057475,"KRD_nPigsWghtDist.3000m.sum",0.731228555660738,978,898,"KRD_nPigsWghtDist.3000m.sum",-0.37874644507888,0.150973427109512,NA
"15","Streptococcus_8","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.117601536958966,0.0848223165216554,0.165933409006506,"KRD_nPigsWghtDist.3000m.sum",0.478983036307439,978,976,"KRD_nPigsWghtDist.3000m.sum",-0.28385327734141,0.048650203423479,NA
"16","Prevotella_melaninogenica_11","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.119920873876157,0.132005430325245,0.363866828645831,"KRD_nPigsWghtDist.3000m.sum",0.702178403608669,978,919,"KRD_nPigsWghtDist.3000m.sum",-0.378651517313638,0.138809769561323,NA
"17","Leptotrichia_17","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.125753090949433,0.141353135384723,0.373883748408721,"KRD_nPigsWghtDist.3000m.sum",0.707347632124608,978,888,"KRD_nPigsWghtDist.3000m.sum",-0.402805236303489,0.151299054404624,NA
"18","Lachnoanaerobaculum_54","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.126089235760476,0.144904096141559,0.384432879569246,"KRD_nPigsWghtDist.3000m.sum",0.71285567072443,978,855,"KRD_nPigsWghtDist.3000m.sum",-0.410101264197931,0.15792279267698,NA
"19","Gemella_27","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.151072679072315,0.10543275292812,0.152217839207044,"KRD_nPigsWghtDist.3000m.sum",0.450435044883631,978,950,"KRD_nPigsWghtDist.3000m.sum",-0.357720874811431,0.0555755166668014,NA
"20","Prevotella_21","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.153161593388969,0.195618397666774,0.433843465027835,"KRD_nPigsWghtDist.3000m.sum",0.759226063798711,978,738,"KRD_nPigsWghtDist.3000m.sum",-0.536573652815846,0.230250466037909,NA
"21","Campylobacter_concisus_50","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.16350977643025,0.0990511079939533,0.0991150024895735,"KRD_nPigsWghtDist.3000m.sum",0.348577090985279,978,957,"KRD_nPigsWghtDist.3000m.sum",-0.357649948098398,0.0306303952378986,NA
"22","Prevotella_pallens_51","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.164961837048771,0.193979663324326,0.395310837448109,"KRD_nPigsWghtDist.3000m.sum",0.728204174246517,978,667,"KRD_nPigsWghtDist.3000m.sum",-0.54516197716445,0.215238303066908,NA
"23","Actinomyces_odontolyticus_15","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.165832092341798,0.0985991224419924,0.0929176204461076,"KRD_nPigsWghtDist.3000m.sum",0.339276763789618,978,969,"KRD_nPigsWghtDist.3000m.sum",-0.359086372328103,0.027422187644507,NA
"24","Megasphaera_micronuciformis_45","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.179329816028812,0.143073996867287,0.21036377091725,"KRD_nPigsWghtDist.3000m.sum",0.516682946112543,978,869,"KRD_nPigsWghtDist.3000m.sum",-0.459754849888696,0.101095217831071,NA
"25","Prevotella_salivae_29","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.181486915516196,0.12141836631124,0.135315860632132,"KRD_nPigsWghtDist.3000m.sum",0.430550465647692,978,923,"KRD_nPigsWghtDist.3000m.sum",-0.419466913486227,0.0564930824538354,NA
"26","Streptococcus_10","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.18684603034665,0.0845726591330339,0.0273900155283573,"KRD_nPigsWghtDist.3000m.sum",0.171754262896199,978,977,"KRD_nPigsWghtDist.3000m.sum",-0.352608442247396,-0.0210836184459035,"*"
"27","Streptococcus_4","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.187674162448922,0.0881893045818007,0.0335849410920434,"KRD_nPigsWghtDist.3000m.sum",0.184387911877886,978,976,"KRD_nPigsWghtDist.3000m.sum",-0.360525199429251,-0.0148231254685928,"*"
"28","Rothia_mucilaginosa_70","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.195112944957246,0.161040105858867,0.225972016024002,"KRD_nPigsWghtDist.3000m.sum",0.536204783785768,978,381,"KRD_nPigsWghtDist.3000m.sum",-0.510751552440624,0.120525662526133,NA
"29","Stomatobaculum_79","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.208780704758573,0.201574802786228,0.300581078397797,"KRD_nPigsWghtDist.3000m.sum",0.642235491999939,978,651,"KRD_nPigsWghtDist.3000m.sum",-0.60386731821958,0.186305908702435,NA
"30","Streptococcus_36","KRD_nPigsWghtDist.3000m.sum","KRD_nPigsWghtDist.3000m.sum",-0.222253806556461,0.115332986444189,0.0542673816094911,"KRD_nPigsWghtDist.3000m.sum",0.247204201704363,978,925,"KRD_nPigsWghtDist.3000m.sum",-0.448306459987071,0.00379884687414908,"*"
