"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Prevotella_63","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.332708387374857,0.171747697731414,0.0530188936567029,"KRD_nPoultryWghtDist.3000m.sum",0.302965106609731,967,578,"KRD_nPoultryWghtDist.3000m.sum",-0.00391710017871399,0.669333874928427,NA
"2","Prevotella_16","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.268204443529056,0.176531824590103,0.129021284079758,"KRD_nPoultryWghtDist.3000m.sum",0.475341572925424,967,792,"KRD_nPoultryWghtDist.3000m.sum",-0.0777979326675458,0.614206819725658,NA
"3","Veillonella_43","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.237334935478448,0.153744582351599,0.122996016485968,"KRD_nPoultryWghtDist.3000m.sum",0.459185128214279,967,807,"KRD_nPoultryWghtDist.3000m.sum",-0.0640044459306872,0.538674316887583,NA
"4","Alloprevotella_61","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.189430652558497,0.17513966390608,0.279706683999243,"KRD_nPoultryWghtDist.3000m.sum",0.719659215331988,967,775,"KRD_nPoultryWghtDist.3000m.sum",-0.15384308869742,0.532704393814415,NA
"5","Prevotella_109","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.164787025142047,0.141145781125196,0.243304304740393,"KRD_nPoultryWghtDist.3000m.sum",0.681532678396422,967,291,"KRD_nPoultryWghtDist.3000m.sum",-0.111858705863338,0.441432756147432,NA
"6","Porphyromonas_pasteri_35","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.158261265800717,0.19092305139571,0.407354610309987,"KRD_nPoultryWghtDist.3000m.sum",0.832549568516762,967,746,"KRD_nPoultryWghtDist.3000m.sum",-0.215947914934875,0.532470446536309,NA
"7","Leptotrichia_17","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.143920580718512,0.145717125907129,0.323566074926264,"KRD_nPoultryWghtDist.3000m.sum",0.745765592144404,967,879,"KRD_nPoultryWghtDist.3000m.sum",-0.14168498605946,0.429526147496484,NA
"8","Neisseria_13","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.13877859642144,0.195598206552693,0.478183606283991,"KRD_nPoultryWghtDist.3000m.sum",0.881676052418206,967,746,"KRD_nPoultryWghtDist.3000m.sum",-0.244593888421839,0.522151081264719,NA
"9","Actinomyces_graevenitzii_22","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.135124221785599,0.14027694116242,0.335659186693963,"KRD_nPoultryWghtDist.3000m.sum",0.764102213612274,967,881,"KRD_nPoultryWghtDist.3000m.sum",-0.139818582892744,0.410067026463941,NA
"10","Veillonella_34","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.133420144134847,0.196733145235332,0.497824340094984,"KRD_nPoultryWghtDist.3000m.sum",0.881676052418206,967,805,"KRD_nPoultryWghtDist.3000m.sum",-0.252176820526405,0.519017108796098,NA
"11","Oribacterium_sinus_71","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.126646922240886,0.137094538554082,0.355829617255747,"KRD_nPoultryWghtDist.3000m.sum",0.775395099924447,967,852,"KRD_nPoultryWghtDist.3000m.sum",-0.142058373325115,0.395352217806887,NA
