"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Capnocytophaga","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.0788011371599194,0.19078305515307,0.679669336460525,"KRD_nCowsWghtDist.3000m.sum",0.893711254995356,978,614,"KRD_nCowsWghtDist.3000m.sum",-0.452735925259936,0.295133650940097,NA
"2","Selenomonas","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.137229678510816,0.13458024427271,0.308134528024452,"KRD_nCowsWghtDist.3000m.sum",0.606076386040976,978,875,"KRD_nCowsWghtDist.3000m.sum",-0.401006957285328,0.126547600263696,NA
"3","Porphyromonas","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.168053524093072,0.156758445615993,0.283965749780279,"KRD_nCowsWghtDist.3000m.sum",0.587929087573255,978,875,"KRD_nCowsWghtDist.3000m.sum",-0.475300077500417,0.139193029314273,NA
"4","Campylobacter","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.185559301020867,0.0889275715045798,0.0371851561123254,"KRD_nCowsWghtDist.3000m.sum",0.176329611242317,978,972,"KRD_nCowsWghtDist.3000m.sum",-0.359857341169843,-0.0112612608718903,"*"
"5","Megasphaera","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.192270939643231,0.142469887655028,0.177477611054918,"KRD_nCowsWghtDist.3000m.sum",0.414114425794809,978,869,"KRD_nCowsWghtDist.3000m.sum",-0.471511919447087,0.0869700401606248,NA
"6","Rothia","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.193287573385129,0.0891688134276169,0.0304303419361827,"KRD_nCowsWghtDist.3000m.sum",0.154250353952374,978,972,"KRD_nCowsWghtDist.3000m.sum",-0.368058447703258,-0.0185166990669994,"*"
"7","Gemella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.211086378418499,0.104494650180211,0.0436541829348668,"KRD_nCowsWghtDist.3000m.sum",0.179682904506891,978,951,"KRD_nCowsWghtDist.3000m.sum",-0.415895892771712,-0.00627686406528674,"*"
"8","Streptococcus","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.218406209163171,0.0714465095774236,0.00229827233613709,"KRD_nCowsWghtDist.3000m.sum",0.0563076722353587,978,978,"KRD_nCowsWghtDist.3000m.sum",-0.358441367934921,-0.0783710503914208,"**"
"9","Prevotella","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.220143556304695,0.0914220689646034,0.016228639822604,"KRD_nCowsWghtDist.3000m.sum",0.113600478758228,978,975,"KRD_nCowsWghtDist.3000m.sum",-0.399330811475318,-0.0409563011340726,"*"
"10","Lachnoanaerobaculum","KRD_nCowsWghtDist.3000m.sum","KRD_nCowsWghtDist.3000m.sum",-0.225731280730948,0.113841589246724,0.0476689693960307,"KRD_nCowsWghtDist.3000m.sum",0.189387527059906,978,941,"KRD_nCowsWghtDist.3000m.sum",-0.448860795654527,-0.00260176580736929,"*"
