"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Capnocytophaga","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.381694469671081,0.197152567065773,0.0531605998865181,"KRD_nPoultryWghtDist.3000m.sum",0.367776079715186,967,609,"KRD_nPoultryWghtDist.3000m.sum",-0.00472456177783426,0.768113501119996,NA
"2","Porphyromonas","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.234590481335083,0.162333455374608,0.148756446237769,"KRD_nPoultryWghtDist.3000m.sum",0.594250684395006,967,865,"KRD_nPoultryWghtDist.3000m.sum",-0.0835830911991493,0.552764053869315,NA
"3","Neisseria","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.181024894331417,0.163620342843385,0.268846695876121,"KRD_nPoultryWghtDist.3000m.sum",0.705722576674818,967,879,"KRD_nPoultryWghtDist.3000m.sum",-0.139670977641617,0.501720766304451,NA
"4","Fusobacterium","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.152165190408021,0.14368367564095,0.289856579456332,"KRD_nPoultryWghtDist.3000m.sum",0.74648480685937,967,921,"KRD_nPoultryWghtDist.3000m.sum",-0.129454813848241,0.433785194664283,NA
"5","Stomatobaculum","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.135980276473923,0.12148150341558,0.263274833914243,"KRD_nPoultryWghtDist.3000m.sum",0.705722576674818,967,928,"KRD_nPoultryWghtDist.3000m.sum",-0.102123470220614,0.374084023168459,NA
"6","Oribacterium","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.128412312924878,0.105455434172477,0.223644090333552,"KRD_nPoultryWghtDist.3000m.sum",0.694286178480009,967,931,"KRD_nPoultryWghtDist.3000m.sum",-0.0782803380531769,0.335104963902933,NA
"7","Selenomonas","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.114623203943418,0.139270990152408,0.410702209631988,"KRD_nPoultryWghtDist.3000m.sum",0.86521941199701,967,866,"KRD_nPoultryWghtDist.3000m.sum",-0.158347936755301,0.387594344642137,NA
"8","Megasphaera","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.101780139669932,0.147301184812452,0.489756113868274,"KRD_nPoultryWghtDist.3000m.sum",0.878488736145854,967,860,"KRD_nPoultryWghtDist.3000m.sum",-0.186930182562473,0.390490461902338,NA
"9","Lachnoanaerobaculum","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0930998563837271,0.11798164282809,0.430248387044273,"KRD_nPoultryWghtDist.3000m.sum",0.8663905876097,967,931,"KRD_nPoultryWghtDist.3000m.sum",-0.138144163559329,0.324343876326783,NA
"10","Actinomyces","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0863150952232036,0.0915603723907528,0.346068474047598,"KRD_nPoultryWghtDist.3000m.sum",0.794876026328076,967,965,"KRD_nPoultryWghtDist.3000m.sum",-0.0931432346626719,0.265773425109079,NA
"11","Streptococcus","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0844166369419338,0.0744282836819963,0.25699724641779,"KRD_nPoultryWghtDist.3000m.sum",0.705722576674818,967,967,"KRD_nPoultryWghtDist.3000m.sum",-0.0614627990747789,0.230296072958647,NA
"12","Alloprevotella","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0826128653237862,0.137979904182526,0.549495371836241,"KRD_nPoultryWghtDist.3000m.sum",0.907593479325028,967,906,"KRD_nPoultryWghtDist.3000m.sum",-0.187827746873966,0.353053477521538,NA
"13","Leptotrichia","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0734329822265451,0.117189466259172,0.531060946831494,"KRD_nPoultryWghtDist.3000m.sum",0.888672376372504,967,948,"KRD_nPoultryWghtDist.3000m.sum",-0.156258371641432,0.303124336094522,NA
"14","Prevotella","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0720794750834069,0.0948483134332518,0.447476770008575,"KRD_nPoultryWghtDist.3000m.sum",0.878488736145854,967,964,"KRD_nPoultryWghtDist.3000m.sum",-0.113823219245767,0.257982169412581,NA
"15","Campylobacter","KRD_nPoultryWghtDist.3000m.sum","KRD_nPoultryWghtDist.3000m.sum",0.0683791213687765,0.092496798534089,0.459932735563918,"KRD_nPoultryWghtDist.3000m.sum",0.878488736145854,967,961,"KRD_nPoultryWghtDist.3000m.sum",-0.112914603758038,0.249672846495591,NA
