"","x"
"1","Staphylococcus_2"
"2","Streptococcus_4"
"3","Moraxella_5"
"4","Streptococcus_8"
"5","Streptococcus_10"
"6","Actinomyces_odontolyticus_15"
"7","Fusobacterium_periodonticum_18"
"8","Actinomyces_19"
"9","Actinomyces_graevenitzii_22"
"10","Streptococcus_23"
"11","Streptococcus_36"
"12","Moraxella_lincolnii_47"
"13","Enterococcus_55"
"14","Moraxella_64"
"15","Fusobacterium_nucleatum_72"
"16","Moraxella_86"
"17","Moraxella_91"
"18","Moraxella_95"
"19","Streptococcus_103"
"20","Streptococcus_126"
"21","Streptococcus_133"
"22","Fusobacterium_periodonticum_135"
"23","Fusobacterium_138"
"24","Actinomyces_143"
"25","Nocardioides_147"
"26","Streptococcus_148"
"27","Streptococcus_150"
"28","Fusobacterium_154"
"29","Actinomyces_180"
"30","Moraxella_181"
"31","Actinomyces_bouchesdurhonensis_196"
"32","Streptococcus_202"
"33","Pseudomonas_210"
"34","Fusobacterium_nucleatum_211"
"35","Staphylococcus_217"
"36","Mycobacterium_223"
"37","Streptococcus_228"
"38","Streptococcus_232"
"39","Streptococcus_234"
"40","Proteus_235"
"41","Streptococcus_243"
"42","Moraxella_246"
"43","Moraxella_250"
"44","Streptococcus_mutans_253"
"45","Staphylococcus_256"
"46","Staphylococcus_258"
"47","Streptococcus_salivarius_261"
"48","Staphylococcus_aureus_262"
"49","Pseudomonas_264"
"50","Fusobacterium_266"
"51","Mycobacterium_268"
"52","Fusobacterium_necrophorum_275"
"53","Moraxella_nonliquefaciens_286"
"54","Actinomyces_300"
"55","Moraxella_303"
"56","Staphylococcus_305"
"57","Staphylococcus_307"
"58","Fusobacterium_312"
"59","Micrococcus_318"
"60","Actinomyces_320"
"61","Pseudomonas_331"
"62","Staphylococcus_332"
"63","Fusobacterium_336"
"64","Staphylococcus_340"
"65","Streptococcus_341"
"66","Acinetobacter_348"
"67","Fusobacterium_nucleatum_354"
"68","Staphylococcus_358"
"69","Streptococcus_360"
"70","Lactococcus_363"
"71","Fusobacterium_371"
"72","Staphylococcus_376"
"73","Staphylococcus_aureus_382"
"74","Nocardioides_392"
"75","Streptococcus_411"
"76","Staphylococcus_aureus_426"
"77","Fusobacterium_nucleatum_432"
"78","Staphylococcus_aureus_437"
"79","Staphylococcus_haemolyticus_438"
"80","Actinomyces_453"
"81","Staphylococcus_473"
"82","Streptococcus_476"
"83","Staphylococcus_epidermidis_492"
"84","Staphylococcus_494"
"85","Streptococcus_504"
"86","Staphylococcus_519"
"87","Fusobacterium_periodonticum_520"
"88","Fusobacterium_nucleatum_523"
"89","Actinomyces_526"
"90","Fusobacterium_nucleatum_529"
"91","Fusobacterium_569"
"92","Staphylococcus_571"
"93","Staphylococcus_epidermidis_573"
"94","Actinomyces_cardiffensis_586"
"95","Streptococcus_587"
"96","Nocardioides_590"
"97","Nocardioides_593"
"98","Actinomyces_603"
"99","Nocardioides_619"
"100","Fusobacterium_628"
"101","Streptococcus_640"
"102","Nocardioides_perillae_662"
"103","Staphylococcus_673"
"104","Acinetobacter_678"
"105","Moraxella_689"
"106","Pseudomonas_692"
"107","Staphylococcus_696"
"108","Streptococcus_oralis_705"
"109","Streptococcus_712"
"110","Moraxella_713"
"111","Staphylococcus_aureus_717"
"112","Fusobacterium_722"
"113","Nocardioides_726"
"114","Streptococcus_728"
"115","Pseudomonas_731"
"116","Fusobacterium_736"
"117","Staphylococcus_742"
"118","Streptococcus_745"
"119","Actinomyces_752"
"120","Nocardioides_764"
"121","Pseudomonas_784"
"122","Streptococcus_808"
"123","Moraxella_813"
"124","Streptococcus_825"
"125","Staphylococcus_826"
"126","Fusobacterium_835"
"127","Actinomyces_israelii_839"
"128","Streptococcus_864"
"129","Staphylococcus_898"
"130","Moraxella_905"
"131","Fusobacterium_916"
"132","Fusobacterium_nucleatum_921"
"133","Moraxella_925"
"134","Clostridium_sensu_stricto_1_928"
"135","Streptococcus_pyogenes_959"
"136","Actinomyces_967"
"137","Fusobacterium_971"
"138","Fusobacterium_974"
"139","Streptococcus_987"
"140","Acinetobacter_988"
"141","Fusobacterium_996"
"142","Streptococcus_anginosus_1011"
"143","Staphylococcus_1016"
"144","Fusobacterium_1024"
"145","Staphylococcus_1027"
"146","Staphylococcus_1051"
"147","Streptococcus_1054"
"148","Actinomyces_gerencseriae_1058"
"149","Streptococcus_1074"
"150","Staphylococcus_epidermidis_1078"
"151","Fusobacterium_1079"
"152","Streptococcus_1080"
"153","Streptococcus_1088"
"154","Streptococcus_1103"
"155","Staphylococcus_1107"
"156","Streptococcus_1117"
"157","Staphylococcus_aureus_1136"
"158","Staphylococcus_1161"
"159","Streptococcus_1165"
"160","Moraxella_1167"
"161","Fusobacterium_1180"
"162","Actinomyces_massiliensis_1192"
"163","Staphylococcus_1203"
"164","Pseudomonas_1209"
"165","Staphylococcus_aureus_1211"
"166","Staphylococcus_caprae_1276"
"167","Streptococcus_1293"
"168","Clostridium_sensu_stricto_1_1299"
"169","Moraxella_1307"
"170","Moraxella_1320"
"171","Fusobacterium_1332"
"172","Nocardioides_plantarum_1336"
"173","Fusobacterium_massiliense_1339"
"174","Actinomyces_1350"
"175","Fusobacterium_1352"
"176","Streptococcus_1364"
"177","Actinomyces_1394"
"178","Acinetobacter_1416"
"179","Actinomyces_1429"
"180","Streptococcus_1431"
"181","Nocardioides_1450"
"182","Pseudomonas_1468"
"183","Staphylococcus_epidermidis_1483"
"184","Streptococcus_1488"
"185","Stenotrophomonas_1519"
"186","Fusobacterium_1578"
"187","Fusobacterium_1595"
"188","Mycobacterium_1609"
"189","Fusobacterium_1629"
"190","Staphylococcus_aureus_1631"
"191","Staphylococcus_haemolyticus_1682"
"192","Acinetobacter_1686"
"193","Nocardioides_1692"
"194","Fusobacterium_1697"
"195","Streptococcus_1713"
"196","Streptococcus_1737"
"197","Staphylococcus_1745"
"198","Streptococcus_1754"
"199","Streptococcus_1766"
"200","Actinomyces_turicensis_1769"
"201","Actinomyces_1777"
"202","Fusobacterium_1801"
"203","Streptococcus_1812"
"204","Fusobacterium_1817"
"205","Streptococcus_1837"
"206","Fusobacterium_nucleatum_1858"
"207","Streptococcus_1859"
"208","Streptococcus_1862"
"209","Moraxella_1892"
"210","Streptococcus_1893"
"211","Actinomyces_1897"
"212","Nocardioides_1905"
"213","Fusobacterium_1920"
"214","Staphylococcus_1921"
"215","Actinomyces_1926"
"216","Actinomyces_1938"
"217","Fusobacterium_1990"
"218","Streptococcus_2040"
"219","Actinomyces_2046"
"220","Staphylococcus_2060"
"221","Staphylococcus_2070"
"222","Clostridium_sensu_stricto_1_2074"
"223","Streptococcus_2086"
"224","Fusobacterium_2124"
"225","Fusobacterium_2159"
"226","Fusobacterium_2191"
"227","Actinomyces_2200"
"228","Pseudomonas_2205"
"229","Streptococcus_2237"
"230","Fusobacterium_2245"
"231","Nocardioides_2278"
"232","Staphylococcus_aureus_2306"
"233","Nocardioides_2348"
"234","Staphylococcus_aureus_2366"
"235","Fusobacterium_2375"
"236","Streptococcus_2392"
"237","Fusobacterium_2416"
"238","Fusobacterium_2423"
"239","Fusobacterium_2428"
"240","Streptococcus_2438"
"241","Nocardioides_antarcticus_2473"
"242","Streptococcus_2474"
"243","Actinomyces_2482"
"244","Fusobacterium_2495"
"245","Nocardioides_marinus_2499"
"246","Streptococcus_2514"
"247","Streptococcus_2524"
"248","Actinomyces_2530"
"249","Fusobacterium_2542"
"250","Fusobacterium_2550"
"251","Nocardioides_2558"
"252","Actinomyces_2560"
"253","Nocardioides_salarius_2563"
"254","Streptococcus_2565"
"255","Streptococcus_2571"
"256","Streptococcus_2612"
"257","Moraxella_2621"
"258","Fusobacterium_2642"
"259","Streptococcus_2651"
"260","Staphylococcus_epidermidis_2685"
"261","Pseudomonas_2693"
"262","Fusobacterium_2733"
"263","Fusobacterium_2766"
"264","Mycobacterium_2780"
"265","Streptococcus_2855"
"266","Fusobacterium_2884"
"267","Streptococcus_2890"
"268","Staphylococcus_2947"
"269","Actinomyces_2963"
"270","Fusobacterium_2981"
"271","Fusobacterium_2986"
"272","Streptococcus_3025"
"273","Fusobacterium_3067"
"274","Actinomyces_3125"
"275","Staphylococcus_3176"
"276","Acinetobacter_3194"
"277","Moraxella_3212"
"278","Micrococcus_3216"
"279","Micrococcus_3223"
"280","Staphylococcus_3248"
"281","Fusobacterium_3291"
"282","Pseudomonas_3300"
"283","Fusobacterium_3301"
"284","Streptococcus_3329"
"285","Streptococcus_3348"
"286","Streptococcus_3355"
"287","Fusobacterium_3467"
"288","Nocardioides_3534"
"289","Staphylococcus_3598"
"290","Streptococcus_3606"
"291","Clostridium_sensu_stricto_1_3614"
"292","Staphylococcus_3636"
"293","Streptococcus_3696"
"294","Pseudomonas_3878"
"295","Actinomyces_3932"
"296","Stenotrophomonas_3964"
"297","Pseudomonas_3970"
"298","Micrococcus_lylae_4089"
"299","Nocardioides_4095"
"300","Streptococcus_salivarius_4115"
"301","Fusobacterium_4139"
"302","Nocardioides_kribbensis_4180"
"303","Actinomyces_4297"
"304","Fusobacterium_5086"
"305","Nocardioides_5410"
"306","Nocardioides_5888"
"307","Moraxella_5917"
"308","Clostridium_sensu_stricto_1_6802"
