"","x"
"1","Staphylococcus_2"
"2","Streptococcus_4"
"3","Moraxella_5"
"4","Streptococcus_8"
"5","Streptococcus_10"
"6","Actinomyces_odontolyticus_15"
"7","Fusobacterium_periodonticum_18"
"8","Actinomyces_19"
"9","Actinomyces_graevenitzii_22"
"10","Streptococcus_23"
"11","Streptococcus_36"
"12","Moraxella_lincolnii_47"
"13","Moraxella_64"
"14","Fusobacterium_nucleatum_72"
"15","Moraxella_86"
"16","Moraxella_91"
"17","Streptococcus_103"
"18","Fusobacterium_periodonticum_135"
"19","Fusobacterium_138"
"20","Actinomyces_143"
"21","Streptococcus_148"
"22","Streptococcus_150"
"23","Fusobacterium_154"
"24","Actinomyces_180"
"25","Actinomyces_bouchesdurhonensis_196"
"26","Streptococcus_202"
"27","Fusobacterium_nucleatum_211"
"28","Streptococcus_228"
"29","Streptococcus_232"
"30","Streptococcus_234"
"31","Proteus_235"
"32","Streptococcus_mutans_253"
"33","Streptococcus_salivarius_261"
"34","Pseudomonas_264"
"35","Actinomyces_300"
"36","Fusobacterium_312"
"37","Micrococcus_318"
"38","Actinomyces_320"
"39","Fusobacterium_336"
"40","Acinetobacter_348"
"41","Fusobacterium_nucleatum_354"
"42","Streptococcus_360"
"43","Lactococcus_363"
"44","Actinomyces_453"
"45","Streptococcus_476"
"46","Fusobacterium_periodonticum_520"
"47","Streptococcus_587"
"48","Moraxella_689"
"49","Streptococcus_oralis_705"
"50","Fusobacterium_722"
"51","Fusobacterium_736"
"52","Staphylococcus_826"
"53","Actinomyces_israelii_839"
"54","Fusobacterium_nucleatum_921"
"55","Streptococcus_anginosus_1011"
"56","Actinomyces_gerencseriae_1058"
"57","Streptococcus_1096"
"58","Streptococcus_1099"
"59","Staphylococcus_1161"
"60","Actinomyces_massiliensis_1192"
"61","Streptococcus_1335"
"62","Actinomyces_2288"
"63","Pseudomonas_2450"
"64","Streptococcus_3121"
